Case,hc(nm),Pmax(uN),S(uN/nm),A(nm^2),hmax(nm),heff(nm),E* (GPa),H(GPa),A,hf(nm),m,X(mm),Y(mm),Drift(nm/s),hm (um),C (GPa),dP/dh (N/m),Wp/Wt,Estar (GPa),sy (GPa),md,T (C)
0,253.833355,10000.6537,226.49147,1701026.383,288.764596,286.94935,153.861922,5.879188,0.063167,174.920554,2.537191,-86.177118,-24.181329,3.717172,0.288764596,119.9334973,169354.1593,0.747585126,100,0.83,75.554912,750
1,210.651683,10001.23923,208.807689,1217289.756,246.666024,246.574352,167.681184,8.215989,14.938723,173.869723,1.51794,-86.16712,-24.181329,0.978713,0.246666024,164.3747664,233228.7039,0.702323692,100,0.83,192.682558,750
2,193.475012,10000.72167,158.626231,1047475.594,241.458976,240.759381,137.321291,9.547451,12.865297,148.104067,1.46965,-86.167688,-24.155469,2.376456,0.241458976,171.5317947,139287.0288,0.562276671,100,0.83,11.591348,750
5,283.910671,10000.9936,212.511291,2086551.141,319.533732,319.20642,130.347384,4.793074,1.960932,229.792639,1.899955,-86.13769,-24.155469,-0.615956,0.319533732,97.95119208,223723.4966,0.693153645,100,0.83,13.120346,750
6,333.752688,10000.85855,221.951247,2814385.22,368.116572,367.546794,117.219711,3.553479,107.166695,315.764223,1.149222,-86.015228,-24.211231,0.00883,0.368116572,73.80173072,208064.1902,0.71097623,100,0.83,11.466109,750
9,208.502278,10000.85535,200.124542,1195340.154,247.078036,245.982146,162.177061,8.366535,3.397611,157.043253,1.779733,-85.985229,-24.211231,0.040779,0.247078036,163.820733,166126.1309,0.638735878,100,0.83,28.879718,750
10,209.466605,10000.3249,201.959344,1205162.986,250.334612,246.603998,162.995602,8.297902,0.024957,115.576543,2.646136,-85.975229,-24.211231,0.030056,0.250334612,159.5777395,153905.7769,0.547330482,100,0.83,54.166168,750
11,220.140416,10000.58764,163.411272,1316590.136,266.83322,266.039579,126.180296,7.595825,1.538555,152.497818,1.855291,-86.015228,-24.201231,0.026417,0.26683322,140.4577561,149602.6384,0.569359085,100,0.83,18.435206,750
12,218.43193,10000.81245,194.60126,1298421.164,256.673314,256.975408,151.31176,7.702287,3.45667,166.137581,1.767572,-86.00523,-24.201231,0.031334,0.256673314,151.8007254,224403.976,0.66324224,100,0.83,15.111007,750
13,277.915831,10000.70124,193.34803,2006503.076,317.78858,316.708706,120.93574,4.984144,1.32776,216.491565,1.937543,-85.99523,-24.201231,-0.259621,0.31778858,99.02705887,177514.3603,0.663116738,100,0.83,24.284108,750
14,178.620148,10001.03565,141.91414,910879.806,228.735892,231.474478,131.743731,10.979534,30.732694,140.982263,1.284079,-85.985229,-24.201231,0.03739,0.228735892,191.1508974,220905.2816,0.512652686,100,0.83,20.850655,750
15,163.97486,10001.08412,203.660552,785462.7009,201.477801,200.804836,203.600557,12.73273,0.035953,73.738327,2.587563,-85.975229,-24.201231,0.009943,0.201477801,246.3727527,254882.7813,0.53833984,100,0.83,20.597988,750
17,284.038331,10001.34499,261.597761,2088273.187,316.934807,312.712158,160.389227,4.78929,12.170919,250.574229,1.625296,-86.00523,-24.19123,-0.037816,0.316934807,99.56771324,150685.1934,0.732935109,100,0.83,0.261665,750
19,208.673805,10000.79168,201.805366,1197084.418,246.490339,245.84127,163.419979,8.354291,0.769358,144.253206,2.049939,-85.985229,-24.19123,0.015895,0.246490339,164.6017987,294607.3875,0.649237126,100,0.83,13.394517,750
