Case,hc(nm),Pmax(uN),S(uN/nm),A(nm^2),hmax(nm),heff(nm),E* (GPa),H(GPa),A,hf(nm),m,X(mm),Y(mm),Drift(nm/s),C (GPa),dP/dh (N/m),Wp/Wt,Estar (GPa),sy (GPa),md
0,140.542898,10001.04787,172.777412,603738.0802,185.470404,183.955899,197.01419,16.56521,0.521517,64.591753,2.062127,-85.88073,-24.04796,2.91141,290.73429898553826,178833.8979917752,0.46244229336585607,155,0.83,9.625444
1,183.83178,10001.18842,173.573152,957722.988,227.645773,227.046363,157.143862,10.442673,2.330858,123.236812,1.801641,-85.870729,-24.04796,0.730998,192.9889432945735,147726.188421182,0.5731713523518677,155,0.83,0.20847200000000043
2,286.591003,10000.90472,183.214676,2122859.464,327.528781,327.530292,111.41264,4.711054,3.002049,230.708769,1.773752,-85.860729,-24.04796,-0.543682,93.22670869389543,180669.25338752096,0.6384219668799604,155,0.83,0.10556800000000521
3,163.598195,10000.83705,159.676655,782357.6412,212.104107,210.572048,159.946076,12.782948,18.555356,122.585291,1.404826,-85.850729,-24.04796,-0.463611,222.29935126357003,141545.22878260506,0.5606589225047793,155,0.83,0.04161400000000981
4,155.244337,10000.66728,201.374865,715040.2429,193.22674,192.490795,210.996305,13.98616,0.160994,77.06593,2.324212,-85.840729,-24.04796,-0.777126,267.8517727465819,198699.68559673955,0.5377219463916895,155,0.83,0.030495000000001937
5,159.612821,10000.92927,187.575254,749873.2825,200.768004,199.600489,191.918319,13.336826,0.25185,81.314502,2.218546,-85.88073,-24.03796,-1.077242,248.11404731346428,184171.7913173463,0.5173044782014323,155,0.83,0.5311910000000069
6,154.798726,10000.86623,150.12147,711532.5037,205.152297,204.762597,157.681327,14.055389,2.273921,87.470592,1.760652,-85.870729,-24.03796,-0.826494,237.62101705258232,135135.53673862535,0.4803069277290063,155,0.83,0.1566090000000031
7,139.612473,10000.76127,138.297163,597000.2134,194.663173,193.847649,158.584543,16.751688,49.449834,107.68781,1.191475,-85.850729,-24.03796,-0.591721,263.9158443425804,127640.35411969831,0.44713566811876304,155,0.83,0.12514499999998918
8,212.788687,10000.81229,156.911223,1239311.754,260.742278,260.590298,124.881628,8.06965,42.55984,181.073213,1.247611,-85.840729,-24.03796,-0.721019,147.09989575232638,182913.97910003806,0.6585501721888356,155,0.83,0.04185800000001905
9,214.154525,10000.22603,154.692436,1253490.865,261.068414,262.638922,122.417448,7.977901,21.512817,174.085911,1.369817,-85.88073,-24.027959,-0.565984,146.72399876648598,202244.32309935422,0.664351889533904,155,0.83,0.20738199999999551
10,209.62881,10000.79921,172.190891,1206819.213,253.751389,253.188602,138.874943,8.286908,11.061721,164.944211,1.519367,-85.870729,-24.027959,-0.530368,155.31659160772654,203044.16481563437,0.6591688126022235,155,0.83,0.031578999999993584
11,201.661135,10001.14261,162.10415,1126813.12,249.036467,247.932973,135.301625,8.8756,14.697451,158.397719,1.451238,-85.860729,-24.027959,-0.391018,161.25891263729739,168641.51883209427,0.6484510774475661,155,0.83,12.399163
12,206.094404,10000.6588,147.396177,1170989.301,257.182897,256.98103,120.68258,8.54035,40.888004,172.805994,1.240626,-85.850729,-24.027959,-0.133448,151.19744149344135,168765.8840014293,0.6134564802029759,155,0.83,0.14470100000002617
13,181.157401,10000.45319,169.879225,933539.65,225.759842,225.308414,155.77893,10.712403,1.294235,113.563416,1.898229,-85.88073,-24.017959,-0.231924,196.21233063692168,163427.02175376462,0.5992488521586682,155,0.83,73.648538
14,196.572816,10000.34687,137.681374,1077158.109,249.569668,251.048304,117.535834,9.28401,94.206912,173.233974,1.071321,-85.870729,-24.017959,-0.228285,160.55781953274536,238609.92088683698,0.6553788703377214,155,0.83,49.092237
15,143.206975,10000.76406,162.087107,623231.7603,189.10116,189.481927,181.910812,16.046621,7.82846,92.917796,1.56506,-85.860729,-24.017959,-0.161244,279.66930010662236,177467.55707449894,0.5172733783995039,155,0.83,31.102723
16,130.992054,10000.72267,195.857057,536300.1882,170.475974,169.288055,236.957293,18.647621,16.284105,93.533982,1.48359,-85.850729,-24.017959,-0.006604,344.1161245140996,189039.8616921074,0.5764590431540821,155,0.83,98.607011
17,176.986229,10000.94113,160.900405,896433.471,223.672908,223.603301,150.568088,11.156367,14.705875,133.528607,1.449169,-85.840729,-24.017959,0.04493,199.90060229064852,188278.11643242088,0.4703257963057861,155,0.83,0.07599400000000855
18,143.535106,10000.85739,160.718825,625653.4181,189.846814,190.204456,180.025766,15.98466,14.743758,100.076315,1.448405,-85.88073,-24.007961,0.042823,277.47931130418664,189297.04409263193,0.5030944932868684,155,0.83,52.114767
19,195.146195,10000.60162,145.383121,1063437.069,245.583838,246.73713,124.908766,9.404037,44.905569,162.798311,1.220255,-85.870729,-24.007961,0.025563,165.8160489914348,209388.35912027236,0.6483516313758684,155,0.83,29.269687
20,196.050402,10000.65603,167.812838,1072123.409,241.345833,240.745981,143.594439,9.327896,8.608145,147.914936,1.557722,-85.850729,-24.007961,-0.033116,171.69153381096245,155270.43148259714,0.6419903387643286,155,0.83,42.968451
21,173.223147,10000.99602,142.215017,863596.4804,225.738947,225.965446,135.589124,11.580635,20.240797,130.321716,1.360062,-85.840729,-24.007961,0.002647,196.25930867610052,148177.16341579563,0.5623136209124343,155,0.83,30.318265999999998
