Wed Jun 08 13:34:48 2022

Number of Points = 5603
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-0.981375	-0.044081	0.000000	-0.000041	0.284181

-1.312295	-0.042235	0.005005	0.000031	0.283940
-1.412452	-0.026682	0.010010	0.000053	0.283933
-0.996024	-0.123638	0.015014	-0.000038	0.283819
-1.569220	-0.073673	0.020019	0.000087	0.283608
-1.924737	-0.081691	0.025024	0.000165	0.283304
-2.479239	0.011909	0.030029	0.000286	0.283299
-2.533736	-0.022370	0.035034	0.000297	0.283106
-2.606139	-0.035546	0.040038	0.000313	0.282993
-2.725531	-0.074328	0.045043	0.000339	0.282731
-2.665671	-0.136592	0.050048	0.000326	0.282501
-3.156674	-0.105856	0.055053	0.000433	0.282265
-3.402201	-0.125062	0.060058	0.000487	0.281993
-3.527804	-0.168774	0.065062	0.000514	0.281704
-3.754426	-0.199140	0.070067	0.000564	0.281396
-3.875725	-0.248258	0.075072	0.000590	0.281085
-4.294553	-0.241274	0.080077	0.000682	0.280797
-4.565453	-0.263653	0.085082	0.000741	0.280491
-5.002173	-0.240610	0.090086	0.000836	0.280260
-5.395685	-0.227536	0.095091	0.000922	0.280018
-5.450399	-0.264693	0.100096	0.000934	0.279810
-5.585352	-0.303494	0.105101	0.000963	0.279533
-5.800795	-0.336318	0.110106	0.001010	0.279221
-6.226761	-0.324325	0.115110	0.001103	0.278948
-6.526726	-0.341304	0.120115	0.001169	0.278641
-6.867254	-0.343297	0.125120	0.001243	0.278371
-7.097411	-0.351851	0.130125	0.001293	0.278155
-7.304298	-0.368995	0.135130	0.001338	0.277919
-7.606066	-0.369244	0.140134	0.001404	0.277685
-7.679160	-0.426459	0.145139	0.001420	0.277370
-7.969662	-0.442955	0.150144	0.001484	0.277071
-8.146426	-0.482530	0.155149	0.001522	0.276756
-8.834764	-0.431012	0.160154	0.001672	0.276456
-9.207103	-0.403846	0.165158	0.001754	0.276291
-9.263000	-0.430848	0.170163	0.001766	0.276125
-9.368850	-0.477334	0.175168	0.001789	0.275832
-9.522750	-0.513200	0.180173	0.001823	0.275550
-10.240211	-0.445662	0.185178	0.001979	0.275299
-10.116046	-0.503872	0.190182	0.001952	0.275131
-10.336817	-0.531735	0.195187	0.002000	0.274832
-10.562536	-0.558291	0.200192	0.002049	0.274535
-10.767501	-0.595405	0.205197	0.002094	0.274205
-11.081664	-0.612455	0.210202	0.002163	0.273882
-11.669277	-0.556991	0.215206	0.002291	0.273676
-12.300173	-0.518681	0.220211	0.002429	0.273358
-12.087448	-0.575642	0.225216	0.002382	0.273263
-12.570505	-0.539292	0.230221	0.002488	0.273051
-12.544194	-0.604927	0.235226	0.002482	0.272771
-12.467361	-0.669323	0.240230	0.002465	0.272535
-13.003998	-0.660843	0.245235	0.002582	0.272152
-13.413913	-0.655191	0.250240	0.002672	0.271855
-13.595047	-0.661396	0.255245	0.002711	0.271684
-13.591237	-0.738413	0.260250	0.002710	0.271332
-13.815590	-0.774356	0.265254	0.002759	0.270988
-13.945321	-0.824036	0.270259	0.002788	0.270656
-14.181775	-0.855523	0.275264	0.002839	0.270323
-14.831473	-0.826962	0.280269	0.002981	0.269940
-14.993566	-0.865088	0.285274	0.003016	0.269634
-15.122290	-0.915882	0.290278	0.003045	0.269296
-15.633410	-0.894771	0.295283	0.003156	0.268987
-16.467242	-0.821377	0.300288	0.003338	0.268665
-16.396035	-0.845064	0.305293	0.003322	0.268612
-16.461894	-0.889975	0.310298	0.003337	0.268349
-16.733535	-0.907713	0.315302	0.003396	0.268050
-17.176555	-0.893547	0.320307	0.003493	0.267762
-17.722863	-0.831363	0.325312	0.003612	0.267616
-17.673162	-0.881029	0.330317	0.003601	0.267423
-17.723322	-0.939332	0.335322	0.003612	0.267109
-17.656300	-1.013591	0.340326	0.003597	0.266814
-17.870706	-1.066495	0.345331	0.003644	0.266393
-18.505680	-1.020885	0.350336	0.003783	0.266097
-18.977803	-0.992545	0.355341	0.003886	0.265850
-19.379700	-0.989987	0.360346	0.003974	0.265538
-19.692598	-0.959386	0.365350	0.004042	0.265431
-20.231346	-0.899059	0.370355	0.004159	0.265281
-20.018853	-0.982330	0.375360	0.004113	0.265059
-20.507315	-0.926161	0.380365	0.004220	0.264929
-21.057184	-0.894614	0.385370	0.004340	0.264634
-21.164225	-0.883647	0.390374	0.004363	0.264599
-21.415048	-0.901475	0.395379	0.004418	0.264312
-21.171578	-0.971970	0.400384	0.004364	0.264175
-21.313952	-1.012283	0.405389	0.004395	0.263868
-21.551928	-1.033668	0.410394	0.004447	0.263573
-21.745874	-1.065330	0.415398	0.004490	0.263264
-21.787433	-1.139455	0.420403	0.004499	0.262877
-22.071003	-1.165451	0.425408	0.004561	0.262522
-22.520889	-1.166991	0.430413	0.004659	0.262147
-22.824572	-1.191334	0.435418	0.004725	0.261782
-23.286070	-1.170926	0.440422	0.004826	0.261502
-23.476077	-1.206966	0.445427	0.004867	0.261173
-23.849902	-1.200888	0.450432	0.004949	0.260896
-24.421009	-1.152674	0.455437	0.005074	0.260658
-24.886827	-1.095512	0.460442	0.005175	0.260550
-24.886952	-1.131689	0.465446	0.005175	0.260376
-25.121380	-1.131294	0.470451	0.005226	0.260185
-25.371242	-1.131455	0.475456	0.005281	0.259978
-24.971739	-1.273233	0.480461	0.005194	0.259624
-25.041591	-1.346478	0.485466	0.005209	0.259212
-25.543968	-1.324789	0.490470	0.005319	0.258902
-25.811864	-1.368989	0.495475	0.005377	0.258465
-25.407723	-1.536186	0.500480	0.005289	0.257989
-26.224278	-1.476713	0.505485	0.005467	0.257599
-26.873670	-1.451946	0.510490	0.005609	0.257179
-27.183366	-1.460925	0.515494	0.005676	0.256877
-27.479222	-1.467753	0.520499	0.005741	0.256597
-27.940088	-1.438297	0.525504	0.005841	0.256356
-28.118356	-1.453418	0.530509	0.005880	0.256133
-28.432239	-1.463745	0.535514	0.005949	0.255819
-28.674891	-1.468831	0.540518	0.006002	0.255591
-28.648270	-1.519904	0.545523	0.005996	0.255363
-28.820426	-1.558427	0.550528	0.006034	0.255029
-29.112020	-1.582669	0.555533	0.006097	0.254664
-29.372773	-1.610393	0.560538	0.006154	0.254308
-29.356805	-1.682380	0.565542	0.006151	0.253966
-29.847682	-1.677612	0.570547	0.006258	0.253575
-30.289758	-1.665154	0.575552	0.006354	0.253263
-30.116603	-1.760025	0.580557	0.006316	0.252940
-30.742758	-1.734654	0.585562	0.006453	0.252534
-31.442499	-1.675530	0.590566	0.006606	0.252233
-32.015486	-1.597434	0.595571	0.006731	0.252135
-32.193870	-1.624016	0.600576	0.006770	0.251851
-32.070069	-1.667687	0.605581	0.006743	0.251739
-32.175982	-1.698966	0.610586	0.006766	0.251493
-32.359941	-1.744024	0.615590	0.006806	0.251111
-32.725843	-1.745665	0.620595	0.006886	0.250790
-33.126774	-1.714321	0.625600	0.006973	0.250604
-33.730865	-1.661360	0.630605	0.007105	0.250352
-34.000950	-1.650304	0.635610	0.007164	0.250176
-34.507352	-1.594291	0.640614	0.007275	0.250023
-34.608443	-1.580871	0.645619	0.007297	0.250003
-34.862671	-1.596050	0.650624	0.007352	0.249709
-34.765174	-1.631286	0.655629	0.007331	0.249616
