Wed Jun 08 13:24:37 2022

Number of Points = 5602
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-0.766552	0.149414	0.000000	0.000100	0.288582

-0.581451	0.115425	0.005005	0.000059	0.288572
-0.538144	0.081220	0.010010	0.000049	0.288456
-0.616912	0.051401	0.015014	0.000066	0.288269
-0.757778	0.063868	0.020019	0.000097	0.288220
-1.041972	0.051818	0.025024	0.000158	0.287957
-1.054349	0.017240	0.030029	0.000161	0.287798
-1.173652	-0.008586	0.035034	0.000187	0.287598
-1.306421	-0.054682	0.040038	0.000216	0.287299
-1.451678	-0.106004	0.045043	0.000247	0.286967
-1.851775	-0.105083	0.050048	0.000334	0.286674
-2.049422	-0.140015	0.055053	0.000377	0.286374
-2.437565	-0.142161	0.060058	0.000462	0.286075
-2.645363	-0.174765	0.065062	0.000507	0.285777
-2.958440	-0.189382	0.070067	0.000575	0.285480
-2.889455	-0.252221	0.075072	0.000560	0.285256
-2.963351	-0.337637	0.080077	0.000576	0.284826
-3.363364	-0.357598	0.085082	0.000663	0.284438
-4.093168	-0.297225	0.090086	0.000822	0.284155
-4.594257	-0.264997	0.095091	0.000931	0.283921
-4.719551	-0.309610	0.100096	0.000958	0.283630
-4.761428	-0.358238	0.105101	0.000967	0.283384
-4.908086	-0.398807	0.110106	0.000999	0.283095
-5.002501	-0.451881	0.115110	0.001019	0.282789
-5.499460	-0.448380	0.120115	0.001127	0.282429
-5.727344	-0.472401	0.125120	0.001177	0.282150
-5.907102	-0.517848	0.130125	0.001216	0.281813
-6.220523	-0.535956	0.135130	0.001284	0.281495
-6.535190	-0.551807	0.140134	0.001353	0.281186
-6.670278	-0.600217	0.145139	0.001382	0.280868
-6.703366	-0.668573	0.150144	0.001389	0.280538
-7.085421	-0.685253	0.155149	0.001472	0.280172
-7.562315	-0.680333	0.160154	0.001576	0.279831
-7.961120	-0.675049	0.165158	0.001663	0.279550
-8.096497	-0.726938	0.170163	0.001692	0.279214
-8.186433	-0.780556	0.175168	0.001712	0.278905
-8.415504	-0.825862	0.180173	0.001762	0.278526
-8.661520	-0.862240	0.185178	0.001815	0.278174
-9.183911	-0.836099	0.190182	0.001929	0.277890
-9.427419	-0.869903	0.195187	0.001982	0.277551
-9.727596	-0.884641	0.200192	0.002047	0.277253
-10.087920	-0.891175	0.205197	0.002125	0.276946
-10.151888	-0.945153	0.210202	0.002139	0.276653
-10.286447	-0.994346	0.215206	0.002168	0.276327
-10.476090	-1.043978	0.220211	0.002210	0.275955
-10.706067	-1.080234	0.225216	0.002260	0.275613
-11.118100	-1.079478	0.230221	0.002349	0.275297
-11.656373	-1.064539	0.235226	0.002467	0.274946
-11.935587	-1.075267	0.240230	0.002527	0.274681
-12.027900	-1.118676	0.245235	0.002547	0.274411
-12.253677	-1.151558	0.250240	0.002596	0.274086
-12.625570	-1.160104	0.255245	0.002677	0.273757
-12.993754	-1.160057	0.260250	0.002757	0.273469
-13.416821	-1.134009	0.265254	0.002850	0.273258
-13.592004	-1.158397	0.270259	0.002888	0.273010
-13.790274	-1.183813	0.275264	0.002931	0.272738
-13.865985	-1.238672	0.280269	0.002947	0.272427
-14.150531	-1.258538	0.285274	0.003009	0.272113
-14.331161	-1.293911	0.290278	0.003048	0.271808
-14.507819	-1.343864	0.295283	0.003086	0.271439
-14.782255	-1.370550	0.300288	0.003146	0.271100
-15.094955	-1.391134	0.305293	0.003214	0.270759
-15.422125	-1.404502	0.310298	0.003285	0.270438
-15.664713	-1.428448	0.315302	0.003338	0.270136
-15.920470	-1.456438	0.320307	0.003394	0.269804
-16.002437	-1.511374	0.325312	0.003411	0.269484
-16.504685	-1.507102	0.330317	0.003521	0.269105
-16.911261	-1.499309	0.335322	0.003609	0.268819
-17.366008	-1.465054	0.340326	0.003708	0.268617
-17.548584	-1.492841	0.345331	0.003748	0.268342
-17.485858	-1.570693	0.350336	0.003734	0.268029
-17.559156	-1.631446	0.355341	0.003750	0.267687
-17.791337	-1.678892	0.360346	0.003800	0.267280
-18.172775	-1.690205	0.365350	0.003883	0.266921
-18.498391	-1.707643	0.370355	0.003954	0.266579
-18.976714	-1.692741	0.375360	0.004059	0.266265
-19.097851	-1.736096	0.380365	0.004085	0.265964
-18.943973	-1.833530	0.385370	0.004051	0.265630
-19.160943	-1.885444	0.390374	0.004098	0.265210
-19.669669	-1.887656	0.395379	0.004209	0.264789
-20.111083	-1.881474	0.400384	0.004305	0.264462
-20.604297	-1.869358	0.405389	0.004413	0.264120
-20.852172	-1.878773	0.410394	0.004466	0.263875
-21.149962	-1.885619	0.415398	0.004531	0.263601
-21.046128	-1.974052	0.420403	0.004508	0.263266
-21.204063	-2.024766	0.425408	0.004543	0.262896
-21.635321	-2.028539	0.430413	0.004637	0.262527
-22.126789	-2.014182	0.435418	0.004744	0.262195
-22.566169	-1.998848	0.440422	0.004839	0.261910
-22.773393	-2.007908	0.445427	0.004884	0.261698
-22.674358	-2.097820	0.450432	0.004863	0.261349
-22.952335	-2.116190	0.455437	0.004923	0.261034
-23.315173	-2.123945	0.460442	0.005002	0.260699
-23.642655	-2.124963	0.465446	0.005073	0.260426
-24.069731	-2.110234	0.470451	0.005166	0.260146
-24.300303	-2.122709	0.475456	0.005216	0.259897
-24.261896	-2.195748	0.480461	0.005208	0.259577
-24.413247	-2.252025	0.485466	0.005241	0.259180
-24.678603	-2.276504	0.490470	0.005298	0.258843
-25.024208	-2.289390	0.495475	0.005374	0.258495
-25.198950	-2.330810	0.500480	0.005411	0.258150
-25.677584	-2.327631	0.505485	0.005516	0.257768
-26.152690	-2.312095	0.510490	0.005619	0.257450
-26.389103	-2.327495	0.515494	0.005671	0.257178
-26.407958	-2.384484	0.520499	0.005675	0.256886
-26.417206	-2.457639	0.525504	0.005676	0.256522
-26.967176	-2.442599	0.530509	0.005796	0.256136
-27.436863	-2.419482	0.535514	0.005898	0.255857
-27.756623	-2.423083	0.540518	0.005968	0.255572
-28.188869	-2.397937	0.545523	0.006062	0.255333
-28.061616	-2.464059	0.550528	0.006034	0.255116
-28.050045	-2.537626	0.555533	0.006031	0.254765
-28.392344	-2.555314	0.560538	0.006106	0.254391
-28.808576	-2.559988	0.565542	0.006197	0.254017
-29.356084	-2.527715	0.570547	0.006316	0.253715
-29.389476	-2.575846	0.575552	0.006323	0.253450
-29.716106	-2.586987	0.580557	0.006394	0.253119
-29.822929	-2.623864	0.585562	0.006417	0.252847
-29.867387	-2.698405	0.590566	0.006427	0.252440
-30.301362	-2.702114	0.595571	0.006521	0.252053
-30.826304	-2.670446	0.600576	0.006636	0.251765
-31.004216	-2.700901	0.605581	0.006674	0.251462
-31.264155	-2.717080	0.610586	0.006731	0.251161
-31.431010	-2.755274	0.615590	0.006767	0.250828
-31.920062	-2.728967	0.620595	0.006873	0.250542
-32.160797	-2.729385	0.625600	0.006926	0.250335
-32.389320	-2.756868	0.630605	0.006975	0.250002
-32.524874	-2.792208	0.635610	0.007005	0.249709
-32.744438	-2.822355	0.640614	0.007052	0.249370
-33.034461	-2.839586	0.645619	0.007116	0.249035
-33.366180	-2.843081	0.650624	0.007188	0.248732
