Wed Jun 08 12:45:27 2022

Number of Points = 5608
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-0.821798	0.039117	0.000000	0.000051	0.252496

-0.683308	0.016702	0.005005	0.000022	0.252499
-0.612273	-0.013082	0.010010	0.000007	0.252408
-0.833002	-0.019661	0.015014	0.000056	0.252183
-0.933961	-0.029334	0.020019	0.000079	0.252046
-0.880918	-0.082679	0.025024	0.000069	0.251821
-1.010303	-0.127616	0.030029	0.000098	0.251483
-1.011838	-0.192440	0.035034	0.000099	0.251155
-1.181543	-0.239697	0.040038	0.000137	0.250770
-1.079442	-0.329255	0.045043	0.000116	0.250405
-1.152721	-0.420121	0.050048	0.000133	0.249883
-1.346910	-0.494064	0.055053	0.000176	0.249340
-1.600173	-0.553627	0.060058	0.000233	0.248818
-1.510371	-0.687369	0.065062	0.000214	0.248217
-1.627165	-0.794422	0.070067	0.000241	0.247570
-2.021433	-0.854522	0.075072	0.000328	0.246919
-1.964627	-0.996237	0.080077	0.000316	0.246244
-2.115210	-1.104178	0.085082	0.000350	0.245558
-2.388216	-1.205269	0.090086	0.000411	0.244798
-2.642750	-1.301613	0.095091	0.000467	0.244076
-2.799633	-1.418377	0.100096	0.000503	0.243333
-2.961078	-1.543912	0.105101	0.000539	0.242538
-3.248418	-1.641137	0.110106	0.000603	0.241776
-3.395941	-1.772798	0.115110	0.000636	0.240957
-3.585061	-1.885091	0.120115	0.000678	0.240198
-4.013036	-1.964427	0.125120	0.000773	0.239396
-3.989490	-2.128880	0.130125	0.000769	0.238550
-4.110050	-2.269508	0.135130	0.000796	0.237696
-4.437845	-2.384285	0.140134	0.000869	0.236789
-4.876673	-2.465242	0.145139	0.000966	0.235957
-5.266980	-2.546429	0.150144	0.001052	0.235164
-5.542081	-2.652586	0.155149	0.001113	0.234341
-5.853878	-2.741999	0.160154	0.001182	0.233572
-5.999588	-2.869339	0.165158	0.001215	0.232748
-6.132635	-2.998713	0.170163	0.001245	0.231923
-6.339914	-3.122904	0.175168	0.001291	0.231053
-6.540955	-3.234799	0.180173	0.001336	0.230253
-6.761102	-3.360791	0.185178	0.001385	0.229355
-7.178024	-3.450198	0.190182	0.001477	0.228470
-7.773384	-3.496430	0.195187	0.001608	0.227651
-7.883215	-3.617928	0.200192	0.001633	0.226872
-8.250349	-3.701748	0.205197	0.001714	0.226055
-8.529225	-3.784424	0.210202	0.001776	0.225326
-8.758702	-3.886088	0.215206	0.001827	0.224536
-8.952000	-3.993202	0.220211	0.001871	0.223747
-9.180504	-4.095099	0.225216	0.001922	0.222950
-9.476625	-4.192380	0.230221	0.001987	0.222112
-9.919757	-4.250332	0.235226	0.002085	0.221350
-10.176515	-4.339518	0.240230	0.002142	0.220590
-10.431179	-4.423388	0.245235	0.002199	0.219859
-10.820615	-4.489056	0.250240	0.002285	0.219098
-11.378522	-4.518770	0.255245	0.002407	0.218375
-11.606814	-4.589703	0.260250	0.002458	0.217738
-11.768048	-4.680753	0.265254	0.002495	0.217049
-11.938613	-4.770846	0.270259	0.002533	0.216354
-12.161304	-4.855426	0.275264	0.002582	0.215636
-12.517655	-4.916249	0.280269	0.002661	0.214922
-12.806164	-4.984266	0.285274	0.002725	0.214231
-13.377710	-5.002161	0.290278	0.002851	0.213547
-13.840614	-5.024518	0.295283	0.002953	0.212944
-13.976143	-5.096735	0.300288	0.002984	0.212377
-14.071995	-5.188880	0.305293	0.003006	0.211730
-14.243441	-5.267489	0.310298	0.003044	0.211085
-14.353984	-5.355888	0.315302	0.003069	0.210441
