Wed Jun 08 13:17:17 2022

Number of Points = 5603
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-1.422940	0.106355	0.000000	0.000071	0.283535

-1.102708	0.019291	0.005005	0.000001	0.283392
-1.593323	0.082602	0.010010	0.000108	0.283302
-1.584562	0.079108	0.015014	0.000106	0.283293
-0.937159	-0.069150	0.020019	-0.000036	0.283127
-1.306512	-0.075633	0.025024	0.000045	0.282819
-1.870864	-0.048950	0.030029	0.000168	0.282511
-2.405453	0.008545	0.035034	0.000284	0.282361
-2.933070	0.038971	0.040038	0.000399	0.282096
-2.726702	-0.006246	0.045043	0.000354	0.282052
-2.725253	-0.053248	0.050048	0.000354	0.281845
-2.863675	-0.101609	0.055053	0.000384	0.281525
-3.355046	-0.085997	0.060058	0.000491	0.281221
-3.821918	-0.041777	0.065062	0.000593	0.281063
-4.054238	-0.061000	0.070067	0.000644	0.280800
-4.193086	-0.074816	0.075072	0.000674	0.280633
-4.537501	-0.059605	0.080077	0.000749	0.280439
-4.671938	-0.081321	0.085082	0.000778	0.280239
-4.600555	-0.171864	0.090086	0.000762	0.279889
-5.141622	-0.145766	0.095091	0.000880	0.279592
-5.402798	-0.157853	0.100096	0.000937	0.279338
-5.458101	-0.210913	0.105101	0.000949	0.279058
-5.695008	-0.236725	0.110106	0.001001	0.278761
-6.071499	-0.243303	0.115110	0.001083	0.278442
-6.049861	-0.311431	0.120115	0.001078	0.278152
-6.380827	-0.336933	0.125120	0.001150	0.277783
-7.019227	-0.298090	0.130125	0.001290	0.277466
-7.498567	-0.248980	0.135130	0.001394	0.277318
-7.741008	-0.261601	0.140134	0.001447	0.277074
-7.689772	-0.333482	0.145139	0.001436	0.276789
-7.885172	-0.363048	0.150144	0.001478	0.276504
-8.107118	-0.389040	0.155149	0.001527	0.276215
-8.435318	-0.401744	0.160154	0.001598	0.275903
-9.179210	-0.326730	0.165158	0.001760	0.275666
-9.015148	-0.396304	0.170163	0.001725	0.275478
-8.993499	-0.458718	0.175168	0.001720	0.275211
-8.969762	-0.555770	0.180173	0.001715	0.274787
-9.099167	-0.614092	0.185178	0.001743	0.274421
-9.655969	-0.624376	0.190182	0.001864	0.273939
-10.277211	-0.600500	0.195187	0.002000	0.273563
-10.788904	-0.558008	0.200192	0.002111	0.273357
-10.803286	-0.615532	0.205197	0.002114	0.273082
-10.786508	-0.679238	0.210202	0.002111	0.272803
-11.293634	-0.673574	0.215206	0.002221	0.272431
