Wed Jun 08 13:13:46 2022

Number of Points = 5604
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-0.323721	-0.040425	0.000000	-0.000053	0.286412

-0.430054	-0.020058	0.005005	-0.000030	0.286422
-0.322327	-0.091296	0.010010	-0.000053	0.286192
-0.502644	-0.103138	0.015014	-0.000014	0.286005
-0.449434	-0.173449	0.020019	-0.000026	0.285738
-0.646933	-0.209863	0.025024	0.000017	0.285430
-0.903757	-0.237260	0.030029	0.000073	0.285118
-0.961359	-0.306668	0.035034	0.000085	0.284770
-1.165969	-0.356550	0.040038	0.000130	0.284397
-1.317916	-0.420014	0.045043	0.000163	0.284003
-1.373373	-0.521687	0.050048	0.000175	0.283513
-1.633882	-0.572729	0.055053	0.000232	0.283091
-1.619905	-0.693234	0.060058	0.000229	0.282568
-1.986080	-0.749809	0.065062	0.000308	0.282040
-2.250844	-0.813694	0.070067	0.000366	0.281556
-2.359614	-0.922607	0.075072	0.000390	0.280988
-2.747886	-0.968529	0.080077	0.000474	0.280488
-2.812016	-1.064736	0.085082	0.000488	0.280009
-2.959008	-1.174372	0.090086	0.000520	0.279406
-3.199974	-1.265354	0.095091	0.000573	0.278813
-3.677844	-1.316993	0.100096	0.000677	0.278214
-3.936634	-1.390496	0.105101	0.000733	0.277684
-4.167579	-1.472976	0.110106	0.000784	0.277134
-4.268601	-1.587299	0.115110	0.000806	0.276538
-4.607155	-1.654156	0.120115	0.000879	0.275973
-4.810816	-1.744729	0.125120	0.000924	0.275404
-5.073736	-1.827729	0.130125	0.000981	0.274822
-5.437300	-1.895005	0.135130	0.001060	0.274232
-5.548943	-2.000799	0.140134	0.001085	0.273661
-5.775130	-2.094938	0.145139	0.001134	0.273053
-5.974580	-2.198190	0.150144	0.001177	0.272422
-6.224583	-2.292402	0.155149	0.001232	0.271792
-6.472322	-2.387333	0.160154	0.001286	0.271159
-6.909198	-2.443883	0.165158	0.001381	0.270553
-7.402974	-2.477375	0.170163	0.001489	0.270007
-7.714908	-2.543800	0.175168	0.001557	0.269451
-8.083457	-2.591532	0.180173	0.001637	0.268936
-8.349630	-2.650959	0.185178	0.001695	0.268447
-8.563667	-2.728617	0.190182	0.001742	0.267914
-8.868166	-2.779042	0.195187	0.001808	0.267435
-9.141721	-2.839144	0.200192	0.001868	0.266934
-9.549348	-2.876065	0.205197	0.001956	0.266433
-9.707051	-2.943723	0.210202	0.001991	0.265989
-9.928218	-3.013613	0.215206	0.002039	0.265481
-10.264473	-3.047479	0.220211	0.002112	0.265050
-10.420498	-3.134474	0.225216	0.002146	0.264513
-10.756780	-3.177791	0.230221	0.002219	0.264035
-10.889343	-3.261566	0.235226	0.002248	0.263530
-11.073290	-3.348760	0.240230	0.002288	0.262966
-11.333181	-3.410976	0.245235	0.002345	0.262458
-11.715344	-3.455601	0.250240	0.002428	0.261933
-12.017812	-3.520056	0.255245	0.002494	0.261377
-12.161870	-3.597572	0.260250	0.002525	0.260887
-12.518932	-3.636097	0.265254	0.002603	0.260409
-12.719160	-3.714154	0.270259	0.002647	0.259869
-12.965564	-3.776770	0.275264	0.002701	0.259363
-13.095736	-3.866385	0.280269	0.002729	0.258823
-13.508112	-3.912437	0.285274	0.002819	0.258258
-13.665718	-3.991880	0.290278	0.002853	0.257742
-13.886138	-4.069651	0.295283	0.002901	0.257181
-14.253375	-4.119920	0.300288	0.002981	0.256629
-14.383366	-4.213939	0.305293	0.003009	0.256062
-14.675292	-4.275546	0.310298	0.003073	0.255516
-15.087024	-4.313391	0.315302	0.003163	0.254985
-15.161394	-4.405662	0.320307	0.003179	0.254469
-15.691281	-4.427006	0.325312	0.003294	0.253917
-15.633682	-4.547311	0.330317	0.003282	0.253372
-15.876339	-4.620066	0.335322	0.003335	0.252807
-16.181995	-4.693145	0.340326	0.003401	0.252185
-16.342770	-4.780679	0.345331	0.003436	0.251613
-16.696022	-4.837059	0.350336	0.003513	0.251031
-17.076339	-4.879122	0.355341	0.003596	0.250496
-17.365690	-4.943448	0.360346	0.003659	0.249927
-17.570473	-5.015349	0.365350	0.003704	0.249391
-18.013029	-5.042423	0.370355	0.003800	0.248874
-18.366539	-5.094258	0.375360	0.003877	0.248308
-18.483536	-5.171763	0.380365	0.003903	0.247816
-18.732499	-5.229067	0.385370	0.003957	0.247311
-18.997250	-5.296205	0.390374	0.004015	0.246741
-19.074141	-5.388830	0.395379	0.004031	0.246204
-19.299502	-5.462120	0.400384	0.004080	0.245634
-19.579586	-5.525666	0.405389	0.004141	0.245065
-19.976874	-5.570503	0.410394	0.004228	0.244488
-20.380295	-5.608316	0.415398	0.004316	0.243941
-20.691617	-5.655629	0.420403	0.004384	0.243424
-20.933104	-5.707459	0.425408	0.004436	0.242944
-21.259500	-5.755820	0.430413	0.004507	0.242407
