Wed Jun 08 12:38:27 2022

Number of Points = 5632
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-0.234484	0.014659	0.000000	0.000017	0.239447

-0.361623	0.038519	0.005005	0.000046	0.239453
-0.363558	-0.007576	0.010010	0.000048	0.239204
-0.265652	-0.034475	0.015014	0.000028	0.239145
-0.257468	-0.083102	0.020019	0.000027	0.238891
-0.325898	-0.122531	0.025024	0.000043	0.238617
-0.295253	-0.187105	0.030029	0.000038	0.238299
-0.326946	-0.258908	0.035034	0.000047	0.237887
-0.198960	-0.368507	0.040038	0.000020	0.237418
-0.268174	-0.461750	0.045043	0.000037	0.236856
-0.220260	-0.582125	0.050048	0.000028	0.236255
-0.178832	-0.707334	0.055053	0.000020	0.235621
-0.341122	-0.818025	0.060058	0.000057	0.234877
-0.438160	-0.939364	0.065062	0.000079	0.234133
-0.540439	-1.073966	0.070067	0.000103	0.233311
-0.422457	-1.253276	0.075072	0.000079	0.232447
-0.453730	-1.419454	0.080077	0.000087	0.231514
-0.387726	-1.609437	0.085082	0.000074	0.230537
-0.425316	-1.797911	0.090086	0.000084	0.229468
-0.385327	-2.008757	0.095091	0.000077	0.228343
-0.565657	-2.194852	0.100096	0.000118	0.227142
-0.692345	-2.387438	0.105101	0.000147	0.225949
-0.616005	-2.622411	0.110106	0.000132	0.224707
-0.585213	-2.870181	0.115110	0.000126	0.223342
-0.497545	-3.134310	0.120115	0.000109	0.221932
-0.705118	-3.352156	0.125120	0.000156	0.220488
-0.841470	-3.586880	0.130125	0.000187	0.219008
-0.773251	-3.868173	0.135130	0.000174	0.217452
-0.752776	-4.144727	0.140134	0.000171	0.215864
-0.838442	-4.418086	0.145139	0.000191	0.214176
-0.939089	-4.689430	0.150144	0.000214	0.212472
-0.998629	-4.973568	0.155149	0.000229	0.210720
-1.194073	-5.240079	0.160154	0.000273	0.208919
-1.343300	-5.512092	0.165158	0.000307	0.207118
-1.234395	-5.834751	0.170163	0.000285	0.205261
-1.234878	-6.150019	0.175168	0.000287	0.203317
-1.547481	-6.413922	0.180173	0.000357	0.201341
-1.482438	-6.740096	0.185178	0.000344	0.199361
-1.705137	-7.026174	0.190182	0.000394	0.197302
-2.060057	-7.281060	0.195187	0.000473	0.195277
-2.105268	-7.589844	0.200192	0.000485	0.193225
-2.188296	-7.897885	0.205197	0.000504	0.191113
-2.376558	-8.192842	0.210202	0.000547	0.188945
-2.609738	-8.474659	0.215206	0.000599	0.186788
-2.775889	-8.760644	0.220211	0.000637	0.184655
-2.922097	-9.057516	0.225216	0.000671	0.182447
-3.291617	-9.305967	0.230221	0.000753	0.180282
-3.419562	-9.598993	0.235226	0.000782	0.178068
-3.425002	-9.908601	0.240230	0.000785	0.175858
-3.705465	-10.176129	0.245235	0.000848	0.173583
-4.070843	-10.423868	0.250240	0.000929	0.171316
-4.337208	-10.679310	0.255245	0.000989	0.169088
-4.604987	-10.936677	0.260250	0.001049	0.166813
-4.832877	-11.189487	0.265254	0.001100	0.164594
-5.064412	-11.443017	0.270259	0.001152	0.162334
-5.437343	-11.663050	0.275264	0.001235	0.160115
-5.702132	-11.899989	0.280269	0.001295	0.157877
-6.296528	-12.070809	0.285274	0.001426	0.155685
-6.480830	-12.304595	0.290278	0.001468	0.153522
-6.889302	-12.495531	0.295283	0.001558	0.151364
-7.367815	-12.664492	0.300288	0.001664	0.149259
-7.688328	-12.853056	0.305293	0.001736	0.147187
-8.137525	-13.011353	0.310298	0.001835	0.145157
-8.272840	-13.223262	0.315302	0.001866	0.143100
-8.699386	-13.376968	0.320307	0.001961	0.141086
-9.030354	-13.545377	0.325312	0.002035	0.139058
-9.343102	-13.710266	0.330317	0.002104	0.137062
-9.998550	-13.805525	0.335322	0.002249	0.135136
-10.688743	-13.885953	0.340326	0.002401	0.133266
-10.959016	-14.026076	0.345331	0.002462	0.131487
-11.138939	-14.181278	0.350336	0.002502	0.129688
-11.829580	-14.244372	0.355341	0.002654	0.127908
-12.411664	-14.311595	0.360346	0.002783	0.126247
-12.462432	-14.466979	0.365350	0.002795	0.124593
-13.087722	-14.523257	0.370355	0.002933	0.122923
-13.704077	-14.567202	0.375360	0.003069	0.121374
-13.524047	-14.742623	0.380365	0.003032	0.119858
-13.506257	-14.903590	0.385370	0.003029	0.118181
-14.425965	-14.897149	0.390374	0.003231	0.116550
-15.209821	-14.895780	0.395379	0.003404	0.115095
-15.166651	-15.031162	0.400384	0.003396	0.113679
-15.607048	-15.089406	0.405389	0.003493	0.112179
-16.330172	-15.086789	0.410394	0.003653	0.110799
-16.432391	-15.185078	0.415398	0.003676	0.109467
-15.951185	-15.392365	0.420403	0.003573	0.108014
-16.871601	-15.360776	0.425408	0.003775	0.106523
-17.538010	-15.354471	0.430413	0.003922	0.105228
-17.138519	-15.536763	0.435418	0.003836	0.103850
-17.030075	-15.677737	0.440422	0.003814	0.102346
-17.993548	-15.627530	0.445427	0.004026	0.100910
-18.127698	-15.714353	0.450432	0.004056	0.099521
-18.267806	-15.800226	0.455437	0.004088	0.098110
-19.325451	-15.724492	0.460442	0.004321	0.096733
-20.044139	-15.687995	0.465446	0.004479	0.095585
-19.595852	-15.853552	0.470451	0.004382	0.094399
-19.866965	-15.904293	0.475456	0.004443	0.093082
-20.231021	-15.935019	0.480461	0.004524	0.091801
-19.939581	-16.078172	0.485466	0.004462	0.090503
-20.050041	-16.162342	0.490470	0.004487	0.089046
-20.943863	-16.106863	0.495475	0.004684	0.087638
-21.235709	-16.142576	0.500480	0.004749	0.086385
-21.250515	-16.227124	0.505485	0.004753	0.085094
-21.529897	-16.270529	0.510490	0.004816	0.083718
-22.062331	-16.264306	0.515494	0.004933	0.082414
-22.099106	-16.340217	0.520499	0.004943	0.081135
-22.424497	-16.367707	0.525504	0.005015	0.079818
-22.833550	-16.377601	0.530509	0.005106	0.078530
-22.785111	-16.467345	0.535514	0.005097	0.077200
-22.524821	-16.595451	0.540518	0.005041	0.075813
-22.995394	-16.601990	0.545523	0.005145	0.074335
-23.344455	-16.624715	0.550528	0.005223	0.072906
-23.392391	-16.696864	0.555533	0.005235	0.071490
-23.912338	-16.686649	0.560538	0.005350	0.070068
-24.556462	-16.650816	0.565542	0.005492	0.068696
-24.834473	-16.672857	0.570547	0.005554	0.067388
-24.762827	-16.753801	0.575552	0.005539	0.066076
-25.338631	-16.724280	0.580557	0.005667	0.064724
-25.336827	-16.793023	0.585562	0.005668	0.063361
-25.373055	-16.854896	0.590566	0.005677	0.061975
-25.308821	-16.934165	0.595571	0.005664	0.060555
