Wed Jun 08 12:34:58 2022

Number of Points = 5634
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-0.901809	0.030988	0.000000	0.000105	0.236371

-0.832125	0.069389	0.005005	0.000091	0.236632
-0.894413	0.081372	0.010010	0.000106	0.236633
-0.822555	0.011831	0.015014	0.000092	0.236323
-0.788837	0.006180	0.020019	0.000086	0.236318
-0.788290	-0.047833	0.025024	0.000087	0.236025
-0.810557	-0.088824	0.030029	0.000094	0.235781
-0.814210	-0.141294	0.035034	0.000096	0.235492
-0.769437	-0.234303	0.040038	0.000088	0.235030
-0.931206	-0.284643	0.045043	0.000124	0.234607
-0.854588	-0.397057	0.050048	0.000109	0.234069
-0.940839	-0.488913	0.055053	0.000130	0.233490
-0.874712	-0.614350	0.060058	0.000117	0.232870
-0.849639	-0.750388	0.065062	0.000113	0.232153
-0.875996	-0.889883	0.070067	0.000120	0.231366
-0.719852	-1.063448	0.075072	0.000088	0.230562
-0.939706	-1.188529	0.080077	0.000137	0.229668
-0.934348	-1.362609	0.085082	0.000138	0.228714
-0.767658	-1.573901	0.090086	0.000103	0.227702
-0.900357	-1.754819	0.095091	0.000133	0.226571
-0.887682	-1.954334	0.100096	0.000132	0.225468
-0.742322	-2.198318	0.105101	0.000102	0.224239
-0.824198	-2.415079	0.110106	0.000122	0.222937
-1.012823	-2.618586	0.115110	0.000164	0.221599
-1.212619	-2.817207	0.120115	0.000210	0.220270
-1.288836	-3.041035	0.125120	0.000228	0.218909
-1.309656	-3.288747	0.130125	0.000234	0.217457
-1.368787	-3.529433	0.135130	0.000249	0.215998
-1.505115	-3.762063	0.140134	0.000280	0.214498
-1.435836	-4.041669	0.145139	0.000266	0.212919
-1.307777	-4.341269	0.150144	0.000240	0.211269
-1.405467	-4.612179	0.155149	0.000263	0.209546
-1.386585	-4.911096	0.160154	0.000261	0.207760
-1.580564	-5.176940	0.165158	0.000305	0.205939
-1.644888	-5.464278	0.170163	0.000320	0.204105
-1.595703	-5.782437	0.175168	0.000311	0.202184
-1.718131	-6.072416	0.180173	0.000340	0.200237
-1.683117	-6.398849	0.185178	0.000334	0.198211
-1.739786	-6.712551	0.190182	0.000348	0.196145
-1.740670	-7.042594	0.195187	0.000350	0.194013
-1.675379	-7.393877	0.200192	0.000337	0.191792
-1.859299	-7.707321	0.205197	0.000379	0.189514
-1.867310	-8.052543	0.210202	0.000383	0.187196
-2.968455	-8.194287	0.215206	0.000625	0.184959
-3.160260	-8.472511	0.220211	0.000668	0.182828
-3.241273	-8.770246	0.225216	0.000687	0.180668
-3.418539	-9.053436	0.230221	0.000728	0.178468
-3.472466	-9.358640	0.235226	0.000741	0.176234
-3.548580	-9.660151	0.240230	0.000760	0.173971
-3.521040	-9.986248	0.245235	0.000755	0.171628
-3.651783	-10.283457	0.250240	0.000785	0.169266
-3.757746	-10.591674	0.255245	0.000810	0.166819
-3.939582	-10.881270	0.260250	0.000852	0.164379
-3.994049	-11.194046	0.265254	0.000865	0.161891
-4.133915	-11.490712	0.270259	0.000897	0.159376
-4.205690	-11.801899	0.275264	0.000915	0.156799
-4.561158	-12.057245	0.280269	0.000994	0.154236
-4.890277	-12.311791	0.285274	0.001068	0.151674
-5.067758	-12.583890	0.290278	0.001108	0.149140
-5.266389	-12.853128	0.295283	0.001153	0.146555
-5.129639	-13.178460	0.300288	0.001125	0.143936
-5.296471	-13.454798	0.305293	0.001163	0.141241
-5.361687	-13.746115	0.310298	0.001179	0.138516
-5.747376	-13.976619	0.315302	0.001265	0.135790
-6.038434	-14.217961	0.320307	0.001330	0.133059
-6.111527	-14.490065	0.325312	0.001347	0.130335
