Thu Jun 09 11:26:18 2022

Number of Points = 5605
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-2.052993	0.358019	0.000000	0.000465	0.265082

-1.477415	0.330210	0.005005	0.000340	0.265413
-2.038483	0.486081	0.010010	0.000463	0.265694
-1.537269	0.468157	0.015014	0.000354	0.266011
-0.505879	0.295329	0.020019	0.000130	0.266025
-1.019730	0.349858	0.025024	0.000243	0.265865
-1.922848	0.504029	0.030029	0.000441	0.265862
-1.369284	0.410946	0.035034	0.000320	0.265866
-0.889899	0.289989	0.040038	0.000216	0.265680
-1.203231	0.283322	0.045043	0.000286	0.265393
-1.305429	0.248156	0.050048	0.000309	0.265142
-0.957945	0.100567	0.055053	0.000234	0.264722
-1.024456	0.000891	0.060058	0.000249	0.264193
-1.671481	0.005166	0.065062	0.000391	0.263685
-1.765898	-0.068552	0.070067	0.000412	0.263255
-0.987505	-0.311649	0.075072	0.000243	0.262727
-0.426704	-0.587541	0.080077	0.000121	0.261864
-1.357613	-0.613080	0.085082	0.000325	0.260976
-2.491207	-0.542429	0.090086	0.000573	0.260381
-2.482527	-0.657624	0.095091	0.000572	0.259830
-2.269406	-0.839438	0.100096	0.000527	0.259125
-3.411972	-0.774745	0.105101	0.000777	0.258489
-3.508489	-0.860473	0.110106	0.000798	0.257990
-1.911664	-1.284264	0.115110	0.000451	0.257253
-1.107616	-1.661457	0.120115	0.000276	0.256080
-2.712569	-1.613034	0.125120	0.000627	0.254968
-3.494563	-1.655715	0.130125	0.000799	0.254096
-2.596169	-1.989880	0.135130	0.000603	0.253201
-2.822858	-2.181734	0.140134	0.000654	0.252053
-4.200979	-2.140266	0.145139	0.000955	0.251082
-3.447912	-2.441897	0.150144	0.000792	0.250215
-2.282698	-2.891165	0.155149	0.000538	0.248956
-3.329137	-2.988600	0.160154	0.000768	0.247557
-5.234243	-2.864940	0.165158	0.001184	0.246528
-5.025708	-3.065423	0.170163	0.001139	0.245685
-3.736343	-3.501188	0.175168	0.000859	0.244581
-3.954826	-3.734383	0.180173	0.000907	0.243187
-4.186136	-3.943590	0.185178	0.000959	0.241898
-3.322374	-4.359970	0.190182	0.000771	0.240499
-3.000761	-4.749494	0.195187	0.000702	0.238745
-5.058821	-4.699881	0.200192	0.001152	0.237148
-6.616666	-4.652958	0.205197	0.001493	0.235981
-5.770158	-4.988357	0.210202	0.001309	0.234963
-5.591263	-5.279681	0.215206	0.001271	0.233564
-7.254438	-5.230209	0.220211	0.001634	0.232295
-7.759042	-5.325102	0.225216	0.001745	0.231311
-6.816456	-5.681141	0.230221	0.001540	0.230250
-7.274492	-5.844900	0.235226	0.001641	0.228925
-9.124457	-5.716159	0.240230	0.002046	0.227890
-9.486591	-5.807940	0.245235	0.002125	0.227039
-8.314506	-6.182908	0.250240	0.001870	0.226071
-8.382290	-6.384988	0.255245	0.001886	0.224879
-10.306921	-6.244896	0.260250	0.002307	0.223817
-10.777709	-6.302841	0.265254	0.002410	0.223036
-9.695691	-6.645182	0.270259	0.002175	0.222148
-9.519623	-6.883601	0.275264	0.002137	0.220966
-10.709591	-6.867653	0.280269	0.002398	0.219894
-9.975375	-7.175516	0.285274	0.002239	0.218850
-8.525797	-7.666029	0.290278	0.001923	0.217454
-10.139037	-7.659886	0.295283	0.002276	0.215887
-13.044417	-7.333551	0.300288	0.002911	0.214887
-12.844611	-7.474877	0.305293	0.002868	0.214258
-11.389855	-7.894643	0.310298	0.002551	0.213253
-12.665619	-7.868625	0.315302	0.002830	0.212115
-13.907713	-7.791314	0.320307	0.003102	0.211309
-13.045569	-8.073447	0.325312	0.002915	0.210506
-26.165915	-5.911360	0.330317	0.005779	0.209997
-47.765298	-1.299977	0.335322	0.010492	0.215380
-40.593896	-1.462626	0.340326	0.008927	0.221499
-35.796295	-1.415974	0.345331	0.007880	0.226362
