Thu Jun 09 15:18:04 2022

Number of Points = 5604
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-0.524884	0.018684	0.000000	-0.000082	0.299481

0.904745	-0.274012	0.005005	-0.000394	0.299280
1.012967	-0.456604	0.010010	-0.000418	0.298594
-1.596834	-0.100855	0.015014	0.000151	0.298219
-1.858041	-0.057544	0.020019	0.000207	0.298216
0.149935	-0.462771	0.025024	-0.000232	0.297956
-0.654411	-0.462734	0.030029	-0.000057	0.297380
-2.488942	-0.214369	0.035034	0.000343	0.297109
-0.725974	-0.572693	0.040038	-0.000042	0.296869
-0.931398	-0.695802	0.045043	0.000002	0.296203
-3.533184	-0.339014	0.050048	0.000569	0.295835
-2.611766	-0.525769	0.055053	0.000367	0.295713
-0.700198	-0.978173	0.060058	-0.000050	0.295181
-3.068672	-0.723558	0.065062	0.000466	0.294546
-4.183609	-0.580391	0.070067	0.000709	0.294348
-2.078850	-1.023121	0.075072	0.000249	0.293995
-2.525797	-1.130867	0.080077	0.000346	0.293212
-4.801413	-0.834109	0.085082	0.000842	0.292821
-4.407866	-0.948336	0.090086	0.000755	0.292622
-3.559698	-1.202808	0.095091	0.000570	0.292155
-5.600311	-0.968272	0.100096	0.001014	0.291668
-6.399075	-0.831865	0.105101	0.001188	0.291670
-4.207851	-1.280005	0.110106	0.000709	0.291355
-4.592348	-1.375376	0.115110	0.000793	0.290664
-6.522882	-1.132325	0.120115	0.001213	0.290292
-5.315834	-1.395753	0.125120	0.000949	0.290047
-4.499001	-1.709599	0.130125	0.000771	0.289295
-6.772714	-1.470400	0.135130	0.001266	0.288651
-7.508136	-1.372985	0.140134	0.001426	0.288531
-5.428528	-1.850570	0.145139	0.000972	0.288001
-6.787533	-1.797187	0.150144	0.001268	0.287225
-9.373241	-1.405508	0.155149	0.001832	0.287009
-6.885213	-1.865671	0.160154	0.001288	0.286857
-6.371314	-2.137802	0.165158	0.001175	0.286054
-9.332902	-1.761884	0.170163	0.001821	0.285486
-8.515505	-1.924148	0.175168	0.001642	0.285389
-6.191291	-2.485825	0.180173	0.001134	0.284667
-8.738428	-2.257307	0.185178	0.001690	0.283759
-10.294439	-2.030986	0.190182	0.002029	0.283586
-7.974746	-2.539357	0.195187	0.001522	0.283093
-7.700226	-2.790920	0.200192	0.001461	0.282189
-10.461562	-2.465148	0.205197	0.002063	0.281542
-9.849284	-2.646509	0.210202	0.001929	0.281202
-8.899260	-2.964436	0.215206	0.001721	0.280510
-10.807177	-2.789688	0.220211	0.002137	0.279836
-11.970079	-2.651362	0.225216	0.002390	0.279568
-10.882475	-2.926728	0.230221	0.002152	0.279169
-11.145296	-3.008776	0.235226	0.002209	0.278601
-12.320762	-2.899652	0.240230	0.002465	0.278190
-12.303505	-2.969753	0.245235	0.002461	0.277890
-12.119340	-3.106058	0.250240	0.002420	0.277419
-12.702463	-3.111375	0.255245	0.002547	0.276947
-13.326407	-3.080368	0.260250	0.002682	0.276607
-13.421751	-3.135164	0.265254	0.002703	0.276287
-13.680988	-3.191151	0.270259	0.002759	0.275834
-14.134580	-3.193987	0.275264	0.002857	0.275471
-14.316571	-3.226195	0.280269	0.002896	0.275185
-14.388081	-3.303621	0.285274	0.002911	0.274779
-14.876420	-3.300516	0.290278	0.003017	0.274415
-15.435708	-3.266373	0.295283	0.003139	0.274136
-14.771130	-3.451077	0.300288	0.002993	0.273813
-15.229170	-3.495614	0.305293	0.003092	0.273253
-16.128017	-3.416820	0.310298	0.003288	0.272912
-15.588469	-3.580715	0.315302	0.003170	0.272585
-15.332587	-3.755024	0.320307	0.003113	0.271987
-16.205245	-3.733810	0.325312	0.003303	0.271399
-16.795269	-3.709929	0.330317	0.003431	0.271046
-15.766235	-3.993709	0.335322	0.003206	0.270549
-16.250543	-4.062793	0.340326	0.003311	0.269847
-17.642588	-3.932786	0.345331	0.003614	0.269347
-17.364007	-4.073063	0.350336	0.003553	0.268918
-17.263971	-4.207470	0.355341	0.003531	0.268374
-18.816897	-4.050050	0.360346	0.003869	0.267871
-19.621123	-3.943810	0.365350	0.004044	0.267727
-19.161432	-4.078344	0.370355	0.003943	0.267468
-21.696407	-3.711366	0.375360	0.004496	0.267159
-26.782320	-2.616507	0.380365	0.005605	0.268216
-24.629154	-2.752193	0.385370	0.005134	0.269302
-25.677020	-2.402098	0.390374	0.005362	0.270099
-26.191662	-2.090843	0.395379	0.005473	0.271136
-24.169629	-2.260640	0.400384	0.005031	0.271949
-24.041103	-2.201327	0.405389	0.005003	0.272326
-25.402183	-1.844153	0.410394	0.005299	0.272901
-23.600643	-2.057086	0.415398	0.004905	0.273339
-22.583185	-2.220800	0.420403	0.004682	0.273388
-24.734999	-1.830574	0.425408	0.005151	0.273493
-24.862090	-1.732443	0.430413	0.005178	0.273846
-22.184570	-2.201947	0.435418	0.004593	0.273793
-23.651933	-2.041329	0.440422	0.004913	0.273383
-25.861605	-1.636643	0.445427	0.005394	0.273509
-23.564751	-2.001641	0.450432	0.004893	0.273637
-22.787023	-2.231801	0.455437	0.004722	0.273194
-25.754673	-1.764692	0.460442	0.005369	0.273012
-25.582401	-1.794062	0.465446	0.005331	0.273015
-22.764370	-2.316905	0.470451	0.004715	0.272828
-24.529080	-2.155202	0.475456	0.005100	0.272187
-26.616943	-1.821886	0.480461	0.005555	0.272081
-23.526521	-2.386376	0.485466	0.004880	0.271916
-22.673768	-2.741189	0.490470	0.004693	0.270953
-26.463244	-2.241702	0.495475	0.005520	0.270269
-26.023485	-2.326162	0.500480	0.005423	0.270228
-22.969665	-3.013315	0.505485	0.004756	0.269463
-25.897559	-2.722435	0.510490	0.005395	0.268489
-28.455079	-2.319642	0.515494	0.005952	0.268331
-25.308623	-2.893533	0.520499	0.005265	0.268165
-25.439090	-3.052140	0.525504	0.005293	0.267320
-29.116729	-2.523155	0.530509	0.006095	0.266855
-28.046196	-2.702490	0.535514	0.005861	0.266874
-26.099833	-3.154889	0.540518	0.005435	0.266314
-28.785127	-2.799303	0.545523	0.006021	0.265829
-29.482940	-2.748534	0.550528	0.006172	0.265508
-27.597780	-3.117260	0.555533	0.005760	0.265291
-28.936046	-3.013486	0.560538	0.006052	0.264702
-30.245977	-2.844856	0.565542	0.006337	0.264442
-28.348912	-3.232964	0.570547	0.005923	0.264142
-28.889553	-3.275435	0.575552	0.006040	0.263504
-30.676940	-3.037889	0.580557	0.006429	0.263182
-29.601209	-3.286368	0.585562	0.006194	0.262877
-28.521714	-3.624145	0.590566	0.005958	0.262148
-30.232740	-3.489215	0.595571	0.006331	0.261396
-31.437022	-3.357933	0.600576	0.006593	0.261040
-30.410302	-3.614559	0.605581	0.006368	0.260653
-30.715676	-3.692529	0.610586	0.006435	0.260028
-32.561072	-3.457233	0.615590	0.006837	0.259644
-32.649192	-3.490006	0.620595	0.006855	0.259415
-31.268751	-3.806608	0.625600	0.006553	0.259028
-31.896831	-3.838782	0.630605	0.006690	0.258354
-33.765169	-3.579666	0.635610	0.007097	0.258063
-33.199560	-3.732447	0.640614	0.006973	0.257793
-31.910749	-4.068167	0.645619	0.006691	0.257234
-33.911500	-3.845061	0.650624	0.007127	0.256656
-35.709932	-3.569107	0.655629	0.007519	0.256504
-33.502590	-3.977955	0.660634	0.007037	0.256353
-33.515006	-4.103721	0.665638	0.007039	0.255730
-36.472287	-3.674084	0.670643	0.007684	0.255359
-36.382557	-3.648347	0.675648	0.007663	0.255563
-35.351293	-3.875432	0.680653	0.007438	0.255316
-36.557832	-3.738621	0.685658	0.007701	0.254977
-37.825011	-3.521446	0.690662	0.007976	0.254982
-36.844559	-3.689569	0.695667	0.007762	0.254982
-36.760569	-3.748680	0.700672	0.007743	0.254764
