Thu Jun 09 14:12:57 2022

Number of Points = 5610
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-0.826108	0.065697	0.000000	0.000107	0.283214

-0.833919	0.082458	0.005005	0.000109	0.283282
-0.541263	0.032561	0.010010	0.000045	0.283283
-0.519804	-0.032399	0.015014	0.000041	0.283012
-0.426075	-0.074257	0.020019	0.000020	0.282897
-0.382878	-0.153501	0.025024	0.000011	0.282579
-0.462103	-0.228050	0.030029	0.000028	0.282188
-0.587525	-0.286903	0.035034	0.000055	0.281831
-0.519192	-0.404745	0.040038	0.000041	0.281359
-0.807279	-0.459954	0.045043	0.000104	0.280893
-0.877553	-0.567160	0.050048	0.000119	0.280361
-0.734069	-0.704044	0.055053	0.000088	0.279858
-0.528557	-0.890812	0.060058	0.000043	0.279179
-0.718606	-1.033856	0.065062	0.000085	0.278390
-0.872194	-1.169050	0.070067	0.000118	0.277662
-0.806233	-1.367754	0.075072	0.000104	0.276815
-0.977054	-1.532302	0.080077	0.000141	0.275936
-1.172259	-1.685795	0.085082	0.000184	0.275086
-1.282233	-1.871075	0.090086	0.000208	0.274155
-1.444031	-2.051790	0.095091	0.000244	0.273201
-1.696773	-2.220262	0.100096	0.000299	0.272228
-1.780132	-2.416622	0.105101	0.000317	0.271257
-1.615105	-2.671247	0.110106	0.000281	0.270209
-1.708789	-2.898057	0.115110	0.000302	0.269081
-1.675079	-3.157575	0.120115	0.000295	0.267896
-1.599176	-3.440617	0.125120	0.000278	0.266630
-1.426115	-3.751918	0.130125	0.000241	0.265303
-1.767214	-3.988213	0.135130	0.000315	0.263907
-1.877938	-4.269429	0.140134	0.000340	0.262478
-2.173440	-4.512756	0.145139	0.000404	0.261071
-5.257211	-4.266794	0.150144	0.001078	0.259717
-18.651728	-1.754312	0.155149	0.004000	0.260787
-12.251025	-2.611470	0.160154	0.002603	0.261925
-13.605590	-2.076193	0.165158	0.002899	0.263375
-12.548716	-2.127188	0.170163	0.002668	0.263992
-9.744595	-2.474093	0.175168	0.002056	0.264620
-11.138972	-2.226007	0.180173	0.002360	0.264666
-9.292114	-2.501411	0.185178	0.001957	0.264857
-9.202277	-2.595558	0.190182	0.001938	0.264484
-9.200675	-2.663858	0.195187	0.001937	0.264162
-10.589304	-2.461881	0.200192	0.002240	0.263993
-10.542451	-2.522377	0.205197	0.002230	0.263744
-10.583227	-2.533463	0.210202	0.002239	0.263658
-10.417289	-2.633004	0.215206	0.002203	0.263320
-10.889589	-2.610505	0.220211	0.002306	0.263042
-11.217986	-2.615747	0.225216	0.002378	0.262750
-11.764856	-2.575106	0.230221	0.002497	0.262498
-12.464688	-2.473475	0.235226	0.002650	0.262411
-12.580700	-2.481509	0.240230	0.002675	0.262278
-13.010912	-2.443255	0.245235	0.002769	0.262110
-12.414446	-2.567079	0.250240	0.002639	0.262005
-13.045973	-2.503648	0.255245	0.002776	0.261792
-13.056356	-2.560510	0.260250	0.002779	0.261511
-13.897412	-2.468070	0.265254	0.002962	0.261265
-14.126924	-2.449789	0.270259	0.003012	0.261164
-14.518139	-2.384872	0.275264	0.003098	0.261155
-13.827437	-2.552155	0.280269	0.002947	0.260919
-14.889136	-2.444986	0.285274	0.003179	0.260561
-13.787060	-2.665997	0.290278	0.002938	0.260405
-14.853498	-2.560794	0.295283	0.003171	0.260033
-14.829538	-2.630599	0.300288	0.003166	0.259716
-15.669939	-2.526106	0.305293	0.003349	0.259527
-17.002011	-2.339766	0.310298	0.003640	0.259326
-15.237623	-2.669178	0.315302	0.003255	0.259193
-16.822712	-2.432143	0.320307	0.003601	0.259028
-16.238940	-2.626391	0.325312	0.003473	0.258571
-17.252578	-2.489725	0.330317	0.003695	0.258393
-17.668705	-2.418566	0.335322	0.003785	0.258393
-16.999973	-2.582715	0.340326	0.003640	0.258151
-18.252821	-2.436055	0.345331	0.003913	0.257823
-17.479641	-2.593664	0.350336	0.003744	0.257699
-18.302542	-2.504865	0.355341	0.003924	0.257447
-18.210728	-2.576477	0.360346	0.003904	0.257174
-18.857543	-2.517279	0.365350	0.004045	0.256924
-19.107243	-2.500153	0.370355	0.004099	0.256799
-18.766038	-2.624728	0.375360	0.004025	0.256475
-18.560449	-2.743712	0.380365	0.003980	0.256065
-19.189540	-2.712783	0.385370	0.004118	0.255690
-19.553957	-2.720028	0.390374	0.004197	0.255348
-20.067022	-2.699433	0.395379	0.004309	0.255018
-20.971695	-2.602138	0.400384	0.004507	0.254736
-21.605412	-2.507636	0.405389	0.004645	0.254668
-20.939028	-2.626693	0.410394	0.004499	0.254643
-21.310397	-2.623407	0.415398	0.004580	0.254346
-21.146917	-2.717685	0.420403	0.004545	0.254019
-22.714417	-2.496798	0.425408	0.004887	0.253786
-21.582183	-2.723561	0.430413	0.004640	0.253622
-22.787715	-2.560152	0.435418	0.004903	0.253411
-22.919377	-2.587130	0.440422	0.004932	0.253166
-22.376584	-2.713798	0.445427	0.004813	0.252998
-23.134606	-2.634235	0.450432	0.004979	0.252750
-23.265129	-2.678857	0.455437	0.005007	0.252418
-23.424127	-2.704690	0.460442	0.005042	0.252154
-23.613547	-2.740827	0.465446	0.005083	0.251813
-24.573994	-2.632172	0.470451	0.005293	0.251536
-24.861288	-2.587608	0.475456	0.005356	0.251513
-24.619209	-2.690174	0.480461	0.005303	0.251208
-25.267265	-2.606708	0.485466	0.005444	0.251072
-25.390207	-2.627755	0.490470	0.005471	0.250861
-25.034723	-2.745663	0.495475	0.005393	0.250576
-25.496975	-2.729105	0.500480	0.005494	0.250263
