Thu Jun 09 13:42:28 2022

Number of Points = 5610
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-0.934184	-0.010792	0.000000	0.000069	0.273976

-0.969861	-0.006474	0.005005	0.000077	0.273966
-1.155953	0.027536	0.010010	0.000118	0.273974
-1.027064	0.006277	0.015014	0.000090	0.273976
-1.050271	-0.040155	0.020019	0.000096	0.273744
-1.071857	-0.077990	0.025024	0.000101	0.273552
-1.255307	-0.101259	0.030029	0.000142	0.273299
-1.273047	-0.159983	0.035034	0.000146	0.273014
-1.464565	-0.197020	0.040038	0.000188	0.272692
-1.782303	-0.217317	0.045043	0.000258	0.272347
-1.824888	-0.283397	0.050048	0.000268	0.272007
-1.759740	-0.379212	0.055053	0.000255	0.271615
-1.585344	-0.516090	0.060058	0.000217	0.271119
-1.352585	-0.680342	0.065062	0.000167	0.270541
-1.419272	-0.815483	0.070067	0.000182	0.269859
-1.529880	-0.963525	0.075072	0.000207	0.269081
-1.668092	-1.104611	0.080077	0.000237	0.268310
-1.838142	-1.247478	0.085082	0.000275	0.267504
-1.872541	-1.418394	0.090086	0.000283	0.266672
-1.987628	-1.582908	0.095091	0.000309	0.265803
-1.734121	-1.822557	0.100096	0.000254	0.264874
-1.717218	-2.047968	0.105101	0.000251	0.263817
-1.792020	-2.271864	0.110106	0.000268	0.262688
-1.844548	-2.504193	0.115110	0.000280	0.261532
-1.906896	-2.739385	0.120115	0.000295	0.260349
-1.928707	-2.995415	0.125120	0.000300	0.259093
-2.088310	-3.238698	0.130125	0.000336	0.257779
-1.980037	-3.534514	0.135130	0.000313	0.256425
-2.078487	-3.806677	0.140134	0.000335	0.255006
-2.352860	-4.054382	0.145139	0.000395	0.253552
-2.400086	-4.338432	0.150144	0.000406	0.252101
-2.706197	-4.583989	0.155149	0.000474	0.250613
-2.935018	-4.839423	0.160154	0.000525	0.249133
-3.019238	-5.122896	0.165158	0.000544	0.247628
-2.921336	-5.451638	0.170163	0.000523	0.246041
-3.044286	-5.742860	0.175168	0.000551	0.244443
-3.302085	-6.027729	0.180173	0.000608	0.242748
-3.439885	-6.322069	0.185178	0.000638	0.241098
-3.804114	-6.576181	0.190182	0.000718	0.239445
-4.090740	-6.849402	0.195187	0.000782	0.237750
-9.115144	-6.269084	0.200192	0.001879	0.236269
-19.684005	-4.307832	0.205197	0.004186	0.237076
-22.705492	-3.377313	0.210202	0.004845	0.239252
-24.452038	-2.535142	0.215206	0.005226	0.242082
-24.130026	-2.022663	0.220211	0.005156	0.245003
