Wed Jun 08 15:39:12 2022

Number of Points = 5608
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-25.784815	-1.868738	0.505485	0.005613	0.234066
-27.518861	-1.639177	0.510490	0.005992	0.233703
-27.191143	-1.672397	0.515494	0.005921	0.233823
-27.184475	-1.678659	0.520499	0.005920	0.233793
-26.782131	-1.832680	0.525504	0.005833	0.233333
-26.928688	-1.844727	0.530509	0.005866	0.233130
-26.367676	-2.032804	0.535514	0.005744	0.232632
-26.975942	-2.014889	0.540518	0.005878	0.232164
-27.611124	-1.990197	0.545523	0.006017	0.231706
-27.415929	-2.101677	0.550528	0.005975	0.231281
-28.451847	-2.006408	0.555533	0.006202	0.230832
-27.692788	-2.184572	0.560538	0.006037	0.230567
-29.026633	-2.042863	0.565542	0.006328	0.230093
-28.995009	-2.125918	0.570547	0.006322	0.229666
-30.653286	-1.874494	0.575552	0.006685	0.229486
-32.254280	-1.583125	0.580557	0.007035	0.229579
-31.250321	-1.710626	0.585562	0.006816	0.229818
-31.795220	-1.617539	0.590566	0.006936	0.229815
-30.380838	-1.889603	0.595571	0.006628	0.229648
-30.758111	-1.859175	0.600576	0.006711	0.229459
-31.353990	-1.844099	0.605581	0.006841	0.228980
-31.545029	-1.834499	0.610586	0.006884	0.228851
-32.500981	-1.721263	0.615590	0.007093	0.228572
-31.747096	-1.861350	0.620595	0.006929	0.228508
-32.402751	-1.800379	0.625600	0.007073	0.228224
-31.651163	-2.002920	0.630605	0.006909	0.227815
-33.338395	-1.751607	0.635610	0.007278	0.227605
-33.128696	-1.842246	0.640614	0.007233	0.227301
-33.616928	-1.783735	0.645619	0.007340	0.227159
-34.502037	-1.664349	0.650624	0.007534	0.226979
-33.565455	-1.855677	0.655629	0.007330	0.226805
-34.847371	-1.659534	0.660634	0.007611	0.226673
-33.831563	-1.907261	0.665638	0.007390	0.226261
-34.350641	-1.863015	0.670643	0.007504	0.226011
-34.837092	-1.855481	0.675648	0.007611	0.225587
-35.405904	-1.776970	0.680653	0.007735	0.225480
-36.122989	-1.709090	0.685658	0.007892	0.225171
-35.114456	-1.915013	0.690662	0.007673	0.224983
-35.380956	-1.912128	0.695667	0.007732	0.224742
-35.423183	-2.024290	0.700672	0.007742	0.224071
-35.940381	-1.984657	0.705677	0.007855	0.223794
-37.749305	-1.726236	0.710682	0.008251	0.223504
-36.628910	-1.940990	0.715686	0.008007	0.223372
-38.683712	-1.608314	0.720691	0.008456	0.223262
-38.383153	-1.688860	0.725696	0.008391	0.223096
-38.098586	-1.718206	0.730701	0.008329	0.223202
-38.038643	-1.809625	0.735706	0.008317	0.222743
-37.513797	-1.939827	0.740710	0.008203	0.222512
-38.456314	-1.861432	0.745715	0.008409	0.222041
-37.988462	-2.005512	0.750720	0.008308	0.221676
-39.810872	-1.748003	0.755725	0.008706	0.221365
-38.724293	-1.976189	0.760730	0.008470	0.221123
-38.388281	-2.113312	0.765734	0.008397	0.220668
-39.130990	-2.073482	0.770739	0.008560	0.220167
-39.485374	-2.093912	0.775744	0.008638	0.219702
-41.092924	-1.850588	0.780749	0.008989	0.219517
-41.379218	-1.851568	0.785754	0.009053	0.219228
-41.420563	-1.843949	0.790758	0.009062	0.219228
-41.740054	-1.834026	0.795763	0.009133	0.218969
-41.717106	-1.851437	0.800768	0.009128	0.218889
-42.053163	-1.844933	0.805773	0.009202	0.218593
-41.838726	-1.910543	0.810778	0.009156	0.218424
-42.471583	-1.860862	0.815782	0.009295	0.218084
-42.402964	-1.900025	0.820787	0.009280	0.217923
-43.712282	-1.722782	0.825792	0.009567	0.217650
-42.588322	-1.938201	0.830797	0.009322	0.217514
-42.879227	-1.937989	0.835802	0.009386	0.217225
-43.239492	-1.985735	0.840806	0.009466	0.216589
-44.591177	-1.750535	0.845811	0.009761	0.216608
-45.225285	-1.678702	0.850816	0.009900	0.216392
-45.367686	-1.634653	0.855821	0.009932	0.216503
-46.075260	-1.530361	0.860826	0.010087	0.216402
-44.802968	-1.751449	0.865830	0.009810	0.216381
-44.464973	-1.871791	0.870835	0.009737	0.216015
-44.811410	-1.880155	0.875840	0.009813	0.215619
-44.962686	-1.923240	0.880845	0.009847	0.215214
-45.470423	-1.917433	0.885850	0.009958	0.214737
-45.362497	-1.991320	0.890854	0.009935	0.214410
-45.820466	-2.002750	0.895859	0.010036	0.213880
-45.895896	-2.062803	0.900864	0.010053	0.213449
-46.795847	-1.975596	0.905869	0.010250	0.213052
-47.403101	-1.927222	0.910874	0.010383	0.212721
-48.140213	-1.807189	0.915878	0.010545	0.212682
-49.275437	-1.656957	0.920883	0.010793	0.212418
-49.126856	-1.638158	0.925888	0.010761	0.212676
-49.919719	-1.500513	0.930893	0.010935	0.212684
-48.504891	-1.758880	0.935898	0.010627	0.212587
-47.746254	-1.952934	0.940902	0.010462	0.212205
-49.531870	-1.723583	0.945907	0.010852	0.211749
-47.820399	-2.072692	0.950912	0.010479	0.211414
-48.967123	-1.960349	0.955917	0.010730	0.210911
-49.012510	-2.038907	0.960922	0.010741	0.210393
-49.190443	-2.070694	0.965926	0.010780	0.210019
-49.433145	-2.121904	0.970931	0.010834	0.209460
-50.273421	-2.063395	0.975936	0.011018	0.208945
-50.897035	-2.006432	0.980941	0.011155	0.208642
-51.553530	-1.939607	0.985946	0.011299	0.208364
-52.133412	-1.846016	0.990950	0.011426	0.208327
-53.364934	-1.633378	0.995955	0.011695	0.208334
-52.640353	-1.758993	1.000960	0.011538	0.208322
-52.295808	-1.854660	1.005965	0.011463	0.208098
-52.810185	-1.792914	1.010970	0.011576	0.207936
-52.412016	-1.932492	1.015974	0.011490	0.207502
-54.107468	-1.659400	1.020979	0.011861	0.207394
-54.448994	-1.601459	1.025984	0.011936	0.207388
-53.427400	-1.804542	1.030989	0.011713	0.207215
-53.017024	-1.917706	1.035994	0.011624	0.206952
-52.424503	-2.140179	1.040998	0.011496	0.206213
-53.002710	-2.119611	1.046003	0.011623	0.205732
-54.852062	-1.883616	1.051008	0.012027	0.205235
-54.934473	-1.903164	1.056013	0.012046	0.205026
-56.909394	-1.581625	1.061018	0.012477	0.204921
-55.512470	-1.827177	1.066022	0.012173	0.204879
-55.990570	-1.766852	1.071027	0.012278	0.204744
-56.197674	-1.790866	1.076032	0.012324	0.204376
-56.147703	-1.813870	1.081037	0.012314	0.204284
-57.248803	-1.674523	1.086042	0.012554	0.203978
-56.683815	-1.785457	1.091046	0.012432	0.203888
-57.951494	-1.602702	1.096051	0.012709	0.203673
-55.936045	-1.993663	1.101056	0.012270	0.203388
-56.623833	-1.954916	1.106061	0.012421	0.202896
-57.038463	-1.975374	1.111066	0.012512	0.202326
-57.657789	-1.924765	1.116070	0.012648	0.201978
-58.005713	-1.930850	1.121075	0.012724	0.201566
-58.172808	-1.948074	1.126080	0.012761	0.201277
-59.888353	-1.676087	1.131085	0.013136	0.201138
-59.794251	-1.729791	1.136090	0.013116	0.200900
-59.348278	-1.817087	1.141094	0.013020	0.200829
-59.032569	-1.929099	1.146099	0.012952	0.200463
-60.040933	-1.794749	1.151104	0.013172	0.200219
-60.707941	-1.722422	1.156109	0.013318	0.199953
-61.145442	-1.647528	1.161114	0.013414	0.199949
-61.289703	-1.671782	1.166118	0.013447	0.199639
-61.026285	-1.722664	1.171123	0.013390	0.199599
-60.476676	-1.882385	1.176128	0.013270	0.199183
-61.106224	-1.831689	1.181133	0.013409	0.198819
-61.907831	-1.751096	1.186138	0.013584	0.198457
-61.725770	-1.817616	1.191142	0.013545	0.198231
-62.540345	-1.711999	1.196147	0.013723	0.198012
-62.220561	-1.823187	1.201152	0.013654	0.197651
-61.248498	-2.054026	1.206157	0.013443	0.197239
-61.940354	-2.035069	1.211162	0.013594	0.196601
-63.161971	-1.898061	1.216166	0.013862	0.196135
-63.111827	-1.953167	1.221171	0.013851	0.195834
-64.374057	-1.770094	1.226176	0.014128	0.195618
-64.321321	-1.808199	1.231181	0.014117	0.195428
-65.553675	-1.615923	1.236186	0.014386	0.195304
-63.786399	-1.949908	1.241190	0.014001	0.195100
-64.597663	-1.872874	1.246195	0.014179	0.194697
