Wed Jun 08 16:06:56 2022

Number of Points = 5634
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-0.083840	0.045076	0.000000	0.000028	0.279875

0.020631	-0.029840	0.005005	0.000005	0.279619
-0.025064	-0.027484	0.010010	0.000015	0.279595
-0.069064	-0.052406	0.015014	0.000025	0.279449
-0.306145	-0.050694	0.020019	0.000077	0.279275
-0.289013	-0.114395	0.025024	0.000073	0.279002
-0.031178	-0.220748	0.030029	0.000017	0.278722
-0.013827	-0.327292	0.035034	0.000013	0.278256
-0.140991	-0.400378	0.040038	0.000041	0.277829
-0.188093	-0.514390	0.045043	0.000051	0.277277
-0.231085	-0.631352	0.050048	0.000061	0.276715
-0.640456	-0.688765	0.055053	0.000150	0.276137
-0.565487	-0.827978	0.060058	0.000134	0.275563
-0.358025	-1.010914	0.065062	0.000089	0.274891
-0.509258	-1.152123	0.070067	0.000122	0.274128
-0.446848	-1.340696	0.075072	0.000108	0.273314
-0.169899	-1.591555	0.080077	0.000048	0.272379
-0.292122	-1.787530	0.085082	0.000075	0.271379
-0.436448	-1.982555	0.090086	0.000107	0.270362
-0.499133	-2.200664	0.095091	0.000121	0.269300
-0.491506	-2.442964	0.100096	0.000119	0.268175
-0.501740	-2.703016	0.105101	0.000121	0.266949
-0.522774	-2.957647	0.110106	0.000126	0.265734
-0.422658	-3.254779	0.115110	0.000105	0.264410
-0.492540	-3.531001	0.120115	0.000120	0.263040
-0.539867	-3.830843	0.125120	0.000131	0.261569
-0.575528	-4.127878	0.130125	0.000139	0.260112
-0.535125	-4.452903	0.135130	0.000130	0.258575
-0.504989	-4.794259	0.140134	0.000124	0.256940
-0.569911	-5.125647	0.145139	0.000138	0.255264
-0.518204	-5.488070	0.150144	0.000127	0.253522
-0.743318	-5.813050	0.155149	0.000176	0.251718
-0.829395	-6.153723	0.160154	0.000196	0.249942
-1.041471	-6.486992	0.165158	0.000242	0.248082
-1.160276	-6.833850	0.170163	0.000268	0.246220
-1.092752	-7.213931	0.175168	0.000254	0.244337
-0.993799	-7.627534	0.180173	0.000233	0.242293
-0.798726	-8.057886	0.185178	0.000190	0.240231
-0.902848	-8.457427	0.190182	0.000213	0.238043
-0.989831	-8.858562	0.195187	0.000233	0.235843
-1.070789	-9.266104	0.200192	0.000251	0.233592
-1.110876	-9.688442	0.205197	0.000260	0.231278
-1.276962	-10.082640	0.210202	0.000296	0.228976
-1.256056	-10.527003	0.215206	0.000292	0.226550
-1.301832	-10.954402	0.220211	0.000302	0.224129
-1.390081	-11.386802	0.225216	0.000322	0.221612
-1.373944	-11.832537	0.230221	0.000319	0.219093
-1.066067	-12.344526	0.235226	0.000252	0.216449
-1.300063	-12.772195	0.240230	0.000303	0.213724
-1.190183	-13.259717	0.245235	0.000280	0.210957
-1.189127	-13.737801	0.250240	0.000280	0.208098
-1.357949	-14.186759	0.255245	0.000317	0.205199
-1.438986	-14.646654	0.260250	0.000335	0.202285
-1.639100	-15.081608	0.265254	0.000379	0.199356
-11.303818	-13.878946	0.270259	0.002488	0.196487
-109.910829	4.652514	0.275264	0.024005	0.206702
-34.947944	-5.821927	0.280269	0.007645	0.220589
-64.525267	1.210087	0.285274	0.014098	0.231521
-46.787069	-0.591497	0.290278	0.010226	0.238118
-23.231838	-3.195604	0.295283	0.005085	0.245517
-39.490285	0.036224	0.300288	0.008632	0.247808
-15.027262	-3.473351	0.305293	0.003294	0.251201
-30.328499	-0.545933	0.310298	0.006633	0.252745
-15.336091	-2.869696	0.315302	0.003361	0.253936
-20.897397	-1.730487	0.320307	0.004574	0.254863
-18.856886	-2.072280	0.325312	0.004129	0.254898
-15.659639	-2.504856	0.330317	0.003431	0.255459
-19.927950	-1.842805	0.335322	0.004363	0.255126
-15.309443	-2.604352	0.340326	0.003355	0.255265
-19.297006	-1.941253	0.345331	0.004225	0.255172
-17.577520	-2.296821	0.350336	0.003850	0.254870
-19.106038	-1.989988	0.355341	0.004183	0.255093
-19.995476	-1.851450	0.360346	0.004377	0.255026
-18.066367	-2.143073	0.365350	0.003956	0.255214
-20.745948	-1.706312	0.370355	0.004541	0.255109
