n,E (GPa),sy (GPa),C (GPa),dP/dh (N/m),WpWt
0.2524287090836616,168.47415641276706,1.0812908740648703,111.7124869754962,172278.45096806143,0.7779856842601156
0.1224936328270404,155.16437883558413,3.388716696699302,168.95888428611374,147577.93543540864,0.6091478020149043
0.4666597506007474,149.136978285403,2.8182095381777477,179.01615736971198,130229.43456282702,0.5121681658923743
0.23077839628865848,36.69990928252641,0.2421567696714792,25.073968379029044,43264.39060192255,0.8030387602742111
0.13080987669705796,55.54621752647729,2.0194826483023585,77.98121438556534,54050.50401345628,0.5027836111190986
0.4529028027422515,89.61250399937998,0.8596311613344435,88.13859806730028,87157.13001201604,0.6371920696332488
0.06599697881458522,56.576225218087444,1.4146982502267658,66.98891863345976,59502.49493733415,0.6184165794222158
0.32165940795901926,69.35626071612367,2.247675611635896,97.51477649816148,64332.469620927994,0.46996527510442304
0.16325130268987254,120.2405975529588,1.813033024865988,114.67621250546021,122983.54891986401,0.6834431148147847
0.04741581071465567,167.14728431945744,1.215917786186385,93.76699315593422,193122.0714626985,0.8454791819441881
0.3657495484334218,98.17870684131886,0.6872252911011086,78.66996430406483,100514.20557335835,0.7236992885883738
0.39995137210980103,54.735106060492,0.45220448714034345,49.35209129594702,56969.36577058635,0.6918620727723748
0.2600945698895361,101.2644316832559,3.5867886471587216,141.41346115764784,91139.5736641146,0.46037317649682635
0.1315187826387461,69.4521965738816,1.777933394148775,84.63112612704845,70289.34957886362,0.5874613209855695
0.07861924834230744,143.80143904719833,5.1337090139508526,188.35847014053837,129256.85977269258,0.49914896077569604
0.17050839565425557,127.82796406419602,1.7195750721361003,115.57398337283344,131242.98146370612,0.7015055328023229
0.3593066122468125,94.18766969478781,1.4149516467355798,102.01846679232987,91520.86496979433,0.6072387930386417
0.4839520488482438,198.20777259107956,2.3997370976833197,205.22183727738212,169583.74068177023,0.5666795870935908
0.4284325778593457,63.96953635836426,1.7706876213606377,88.66934144188745,59312.505086417776,0.47328304793361925
0.1483767647835032,116.22561182078545,2.4321074276007497,127.94541656470123,114729.4900290801,0.6186468384027209
0.4167868157869951,124.64086439390822,3.7322855224291938,169.94871919980474,107846.86310063674,0.44685546230429896
0.16119187740385432,186.8592732734395,2.998949365679453,178.34239995387966,177556.66671282685,0.6577916620499948
0.26669293643061315,137.25427303091573,2.143456640698257,140.41478741488575,131752.99470847324,0.63004269751646
0.017058383189258397,94.61823647487546,1.7142768682700287,91.7953354245495,103139.5865128344,0.7065351906545004
0.2688775081109964,65.29624240016611,1.6917697311525732,84.14773783206343,63548.64069205443,0.5385184292788672
0.4903431452666529,79.88100071987819,1.5053717739293315,100.30349363283923,74296.92250776631,0.5194709295249693
