Sat Jun 04 15:58:48 2022

Number of Points = 5609
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.638517	-0.103283	0.000000	-0.000133	0.293672

0.324563	-0.054616	0.005005	-0.000065	0.293649
0.779185	-0.199461	0.010010	-0.000164	0.293339
0.597614	-0.244198	0.015014	-0.000125	0.292989
0.314604	-0.265442	0.020019	-0.000063	0.292667
0.848271	-0.449889	0.025024	-0.000179	0.292235
0.436471	-0.504075	0.030029	-0.000089	0.291656
0.255624	-0.577093	0.035034	-0.000050	0.291173
0.638811	-0.768347	0.040038	-0.000133	0.290587
0.200246	-0.832931	0.045043	-0.000038	0.289935
0.136709	-0.956969	0.050048	-0.000024	0.289303
0.729918	-1.230232	0.055053	-0.000153	0.288497
0.208091	-1.326228	0.060058	-0.000039	0.287625
-0.030961	-1.456658	0.065062	0.000013	0.286817
0.398474	-1.727904	0.070067	-0.000081	0.285880
0.072254	-1.875627	0.075072	-0.000009	0.284913
-0.526903	-1.971961	0.080077	0.000122	0.283966
-0.072287	-2.253998	0.085082	0.000022	0.282989
-0.344744	-2.437163	0.090086	0.000082	0.281886
-3.376327	-2.102728	0.095091	0.000744	0.281000
-2.593926	-2.319502	0.100096	0.000573	0.280599
-4.025992	-2.183453	0.105101	0.000885	0.280073
-4.713180	-2.141335	0.110106	0.001035	0.279708
-4.410798	-2.248444	0.115110	0.000969	0.279439
-5.351688	-2.166664	0.120115	0.001175	0.279055
-5.694451	-2.171364	0.125120	0.001250	0.278748
-5.951553	-2.151468	0.130125	0.001306	0.278631
-6.080132	-2.212077	0.135130	0.001334	0.278229
-6.542866	-2.162406	0.140134	0.001435	0.278085
-6.903054	-2.156576	0.145139	0.001513	0.277813
-6.768252	-2.224958	0.150144	0.001484	0.277592
-7.673253	-2.103000	0.155149	0.001681	0.277432
-8.022070	-2.096553	0.160154	0.001757	0.277172
-7.392722	-2.229319	0.165158	0.001620	0.277049
-8.230098	-2.145083	0.170163	0.001803	0.276761
-8.760910	-2.095698	0.175168	0.001918	0.276558
-8.325976	-2.202576	0.180173	0.001824	0.276399
-9.155660	-2.107210	0.185178	0.002005	0.276170
-9.597485	-2.081304	0.190182	0.002101	0.275927
-9.160650	-2.177686	0.195187	0.002006	0.275820
-9.992717	-2.077883	0.200192	0.002187	0.275611
-10.068314	-2.107029	0.205197	0.002204	0.275404
-9.968466	-2.151883	0.210202	0.002182	0.275268
-10.745942	-2.066906	0.215206	0.002351	0.275031
-11.028738	-2.077572	0.220211	0.002413	0.274740
-10.804775	-2.131697	0.225216	0.002364	0.274662
-11.271536	-2.115858	0.230221	0.002466	0.274346
-11.523857	-2.126060	0.235226	0.002521	0.274083
-11.461873	-2.165755	0.240230	0.002508	0.273939
-11.855336	-2.183279	0.245235	0.002593	0.273519
-12.437623	-2.119725	0.250240	0.002721	0.273340
-13.114914	-2.044923	0.255245	0.002868	0.273137
-12.276638	-2.225186	0.260250	0.002685	0.272954
-13.331435	-2.082240	0.265254	0.002915	0.272768
-13.664008	-2.077461	0.270259	0.002988	0.272509
-13.084579	-2.219977	0.275264	0.002862	0.272293
-14.348550	-2.069921	0.280269	0.003137	0.271963
-14.845667	-2.000915	0.285274	0.003246	0.271883
-13.833702	-2.196178	0.290278	0.003025	0.271773
-14.813783	-2.093723	0.295283	0.003239	0.271448
-15.322721	-2.043889	0.300288	0.003350	0.271262
-15.218183	-2.086372	0.305293	0.003327	0.271139
-15.284533	-2.139203	0.310298	0.003342	0.270818
-15.858954	-2.076102	0.315302	0.003467	0.270642
-16.304437	-2.043367	0.320307	0.003564	0.270424
-15.956654	-2.131501	0.325312	0.003488	0.270281
-16.313495	-2.137061	0.330317	0.003566	0.269946
-17.261261	-2.019253	0.335322	0.003773	0.269724
-16.761178	-2.125251	0.340326	0.003664	0.269621
-17.249877	-2.121054	0.345331	0.003770	0.269222
-17.894701	-2.035779	0.350336	0.003911	0.269096
-17.734355	-2.102426	0.355341	0.003876	0.268898
-17.874858	-2.135764	0.360346	0.003907	0.268609
-18.566413	-2.054957	0.365350	0.004057	0.268419
-19.028281	-2.031585	0.370355	0.004158	0.268138
-18.219687	-2.193677	0.375360	0.003982	0.268018
-19.210776	-2.103722	0.380365	0.004198	0.267615
-19.773580	-2.028300	0.385370	0.004321	0.267510
-19.461759	-2.122345	0.390374	0.004253	0.267303
-19.854416	-2.118964	0.395379	0.004338	0.266980
-20.237340	-2.090936	0.400384	0.004422	0.266789
-20.936023	-2.012135	0.405389	0.004574	0.266582
-20.303283	-2.158240	0.410394	0.004436	0.266390
-20.963945	-2.102703	0.415398	0.004580	0.266097
-21.626983	-2.019318	0.420403	0.004725	0.265944
-21.327071	-2.114681	0.425408	0.004660	0.265719
-21.493115	-2.137654	0.430413	0.004696	0.265457
-22.243352	-2.064368	0.435418	0.004860	0.265176
-22.671157	-2.015318	0.440422	0.004953	0.265052
-22.125227	-2.154643	0.445427	0.004834	0.264817
-22.932638	-2.072463	0.450432	0.005010	0.264531
-23.535545	-1.992257	0.455437	0.005141	0.264413
-22.783824	-2.169420	0.460442	0.004977	0.264164
-23.680469	-2.089964	0.465446	0.005173	0.263784
-24.228175	-2.018934	0.470451	0.005293	0.263668
-23.926154	-2.108894	0.475456	0.005227	0.263471
-24.462991	-2.078532	0.480461	0.005344	0.263154
-24.832526	-2.047302	0.485466	0.005424	0.262990
-24.795130	-2.086820	0.490470	0.005416	0.262819
-25.397368	-2.040357	0.495475	0.005548	0.262527
-25.108011	-2.123002	0.500480	0.005484	0.262356
-25.706151	-2.091438	0.505485	0.005615	0.261990
-26.167565	-2.050771	0.510490	0.005716	0.261792
-25.970291	-2.122787	0.515494	0.005673	0.261593
-26.432985	-2.105813	0.520499	0.005773	0.261271
-26.930041	-2.064020	0.525504	0.005882	0.261046
-26.670460	-2.145690	0.530509	0.005825	0.260853
-27.314315	-2.097726	0.535514	0.005966	0.260529
-27.899978	-2.020888	0.540518	0.006094	0.260408
-27.585779	-2.117862	0.545523	0.006025	0.260183
-28.043187	-2.093596	0.550528	0.006125	0.259901
-28.556381	-2.032782	0.555533	0.006237	0.259760
-28.304340	-2.133447	0.560538	0.006182	0.259460
-29.012083	-2.069032	0.565542	0.006336	0.259163
-29.526876	-1.988756	0.570547	0.006448	0.259123
-29.025596	-2.137658	0.575552	0.006339	0.258792
-29.688714	-2.080900	0.580557	0.006484	0.258495
-30.113087	-2.041414	0.585562	0.006576	0.258321
-29.910618	-2.119757	0.590566	0.006532	0.258091
-30.485262	-2.064198	0.595571	0.006657	0.257867
-30.913830	-2.049210	0.600576	0.006751	0.257560
-30.657613	-2.121190	0.605581	0.006695	0.257411
-31.281365	-2.076969	0.610586	0.006831	0.257082
-31.468227	-2.075065	0.615590	0.006872	0.256923
-31.175226	-2.197311	0.620595	0.006808	0.256542
-32.184199	-2.070944	0.625600	0.007028	0.256298
-32.295573	-2.094375	0.630605	0.007052	0.256073
-32.333995	-2.134831	0.635610	0.007061	0.255824
-33.209648	-2.011322	0.640614	0.007252	0.255684
-33.056501	-2.083268	0.645619	0.007218	0.255441
-32.857758	-2.162962	0.650624	0.007175	0.255199
-34.047871	-2.023274	0.655629	0.007435	0.254859
-34.080519	-2.031802	0.660634	0.007442	0.254784
-33.789501	-2.125061	0.665638	0.007378	0.254552
-34.744773	-2.022889	0.670643	0.007587	0.254225
-34.542248	-2.073043	0.675648	0.007542	0.254143
-34.589345	-2.128565	0.680653	0.007553	0.253803
-35.246943	-2.068005	0.685658	0.007696	0.253525
-35.484644	-2.058684	0.690662	0.007748	0.253358
-35.756554	-2.064393	0.695667	0.007807	0.253078
-36.089408	-2.037408	0.700672	0.007880	0.252917
-36.362578	-2.032853	0.705677	0.007940	0.252691
-36.217120	-2.108611	0.710682	0.007908	0.252418
-36.599333	-2.095508	0.715686	0.007991	0.252137
-37.129900	-2.038982	0.720691	0.008107	0.251952
-36.707757	-2.179772	0.725696	0.008015	0.251583
-37.748730	-2.047996	0.730701	0.008242	0.251333
-37.637318	-2.107936	0.735706	0.008218	0.251112
-37.566681	-2.174505	0.740710	0.008202	0.250818
-38.653929	-2.044769	0.745715	0.008439	0.250513
-38.109483	-2.167420	0.750720	0.008321	0.250353
-38.356634	-2.194833	0.755725	0.008375	0.249975
-39.459087	-2.063036	0.760730	0.008615	0.249666
-39.246957	-2.131440	0.765734	0.008569	0.249492
-39.510886	-2.138603	0.770739	0.008626	0.249207
-40.254028	-2.057810	0.775744	0.008789	0.248955
-40.190577	-2.085901	0.780749	0.008775	0.248861
-40.203238	-2.140158	0.785754	0.008777	0.248553
-40.898260	-2.074774	0.790758	0.008929	0.248261
-40.959289	-2.080324	0.795763	0.008942	0.248173
-41.042336	-2.130325	0.800768	0.008960	0.247822
-41.863692	-2.029115	0.805773	0.009140	0.247607
-41.635478	-2.093328	0.810778	0.009090	0.247469
-41.826378	-2.120668	0.815782	0.009131	0.247140
-42.477776	-2.040492	0.820787	0.009274	0.246968
-42.182838	-2.145254	0.825792	0.009209	0.246669
-42.908893	-2.078555	0.830797	0.009368	0.246353
-43.267755	-2.040906	0.835802	0.009446	0.246222
-43.170748	-2.099067	0.840806	0.009425	0.245993
-43.740452	-2.049734	0.845811	0.009549	0.245727
-43.487079	-2.121364	0.850816	0.009494	0.245571
-43.945337	-2.110328	0.855821	0.009594	0.245198
-44.569583	-2.049265	0.860826	0.009730	0.244945
-44.457287	-2.095995	0.865830	0.009705	0.244793
-44.657089	-2.131998	0.870835	0.009749	0.244403
