Sat Jun 04 15:41:07 2022

Number of Points = 5613
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.002437	-0.063939	0.000000	-0.000003	0.292475

0.062187	-0.082424	0.005005	-0.000016	0.292437
0.093806	-0.089574	0.010010	-0.000023	0.292429
0.021707	-0.143180	0.015014	-0.000007	0.292124
-0.040514	-0.179903	0.020019	0.000006	0.291904
-0.054373	-0.242858	0.025024	0.000009	0.291600
-0.009187	-0.318844	0.030029	-0.000001	0.291283
-0.093499	-0.401401	0.035034	0.000018	0.290831
-0.043900	-0.502435	0.040038	0.000007	0.290400
-0.032625	-0.629041	0.045043	0.000005	0.289817
-0.039981	-0.760819	0.050048	0.000006	0.289194
-0.151122	-0.882130	0.055053	0.000031	0.288536
-0.351323	-0.998018	0.060058	0.000074	0.287829
-0.269356	-1.172812	0.065062	0.000057	0.287071
-0.244911	-1.350514	0.070067	0.000051	0.286250
-0.407296	-1.496075	0.075072	0.000087	0.285428
-0.530984	-1.663692	0.080077	0.000114	0.284530
-0.345423	-1.902552	0.085082	0.000073	0.283542
-0.437387	-2.096775	0.090086	0.000094	0.282536
-0.616933	-2.291166	0.095091	0.000133	0.281454
-1.045406	-2.435737	0.100096	0.000226	0.280402
-3.662330	-2.173465	0.105101	0.000798	0.279505
-4.082653	-2.157419	0.110106	0.000889	0.279234
-5.982526	-1.932225	0.115110	0.001304	0.278750
-5.375179	-2.044711	0.120115	0.001171	0.278708
-6.073062	-1.981416	0.125120	0.001324	0.278436
-6.034474	-2.013134	0.130125	0.001315	0.278313
-6.488327	-1.972999	0.135130	0.001414	0.278131
-6.598122	-2.003104	0.140134	0.001438	0.277893
-6.911738	-1.987384	0.145139	0.001507	0.277708
-7.125447	-1.991612	0.150144	0.001553	0.277509
-7.313392	-2.009743	0.155149	0.001594	0.277263
-7.824267	-1.966324	0.160154	0.001706	0.277048
-7.763863	-2.024522	0.165158	0.001692	0.276814
-8.086347	-2.019168	0.170163	0.001763	0.276570
-8.616084	-1.979579	0.175168	0.001878	0.276320
-8.437371	-2.044071	0.180173	0.001839	0.276154
-8.973451	-1.997329	0.185178	0.001956	0.275933
-9.021659	-2.048965	0.190182	0.001967	0.275639
-9.546279	-1.998142	0.195187	0.002081	0.275448
-9.700041	-2.015453	0.200192	0.002115	0.275233
-9.761370	-2.051584	0.205197	0.002128	0.275003
-10.675405	-1.951039	0.210202	0.002328	0.274728
-10.609595	-1.984999	0.215206	0.002313	0.274616
-10.903906	-1.974765	0.220211	0.002377	0.274419
-10.860368	-2.022581	0.225216	0.002368	0.274219
-11.239907	-2.006792	0.230221	0.002451	0.273976
-11.622517	-2.000596	0.235226	0.002534	0.273683
-11.906526	-1.994432	0.240230	0.002596	0.273473
-12.069085	-1.992015	0.245235	0.002632	0.273347
-12.788086	-1.907261	0.250240	0.002788	0.273158
-12.566758	-1.995873	0.255245	0.002740	0.272906
-12.999966	-1.948459	0.260250	0.002835	0.272773
-13.330991	-1.942178	0.265254	0.002907	0.272523
-13.268620	-1.998970	0.270259	0.002893	0.272294
-13.989912	-1.906430	0.275264	0.003051	0.272140
-13.846395	-1.979022	0.280269	0.003019	0.271901
-13.887594	-2.022980	0.285274	0.003028	0.271646
-14.828577	-1.928383	0.290278	0.003234	0.271315
-14.691571	-1.974401	0.295283	0.003204	0.271202
-15.041869	-1.962978	0.300288	0.003280	0.270960
-15.055245	-1.991682	0.305293	0.003283	0.270805
-15.771453	-1.932184	0.310298	0.003439	0.270489
-15.595153	-1.986542	0.315302	0.003401	0.270368
-15.955663	-1.986654	0.320307	0.003479	0.270058
-16.351032	-1.954315	0.325312	0.003566	0.269881
-16.946748	-1.880452	0.330317	0.003696	0.269740
-16.813666	-1.960427	0.335322	0.003666	0.269452
-17.061647	-1.950335	0.340326	0.003721	0.269290
-17.609498	-1.891726	0.345331	0.003840	0.269113
-17.518221	-1.966539	0.350336	0.003820	0.268815
-17.914974	-1.929528	0.355341	0.003907	0.268659
-18.254692	-1.910849	0.360346	0.003981	0.268460
-17.893341	-2.043739	0.365350	0.003902	0.268101
-18.750057	-1.942756	0.370355	0.004089	0.267871
-18.892206	-1.975341	0.375360	0.004120	0.267582
-18.569820	-2.073824	0.380365	0.004050	0.267363
-19.607073	-1.953696	0.385370	0.004276	0.267072
-19.658775	-2.003611	0.390374	0.004287	0.266774
-20.035146	-1.972576	0.395379	0.004369	0.266604
-20.286615	-1.981351	0.400384	0.004424	0.266341
-20.747973	-1.921209	0.405389	0.004525	0.266245
-21.187307	-1.900525	0.410394	0.004621	0.265968
-21.029310	-1.952821	0.415398	0.004586	0.265839
-21.410279	-1.923146	0.420403	0.004669	0.265658
-21.604798	-1.928528	0.425408	0.004712	0.265461
-21.740817	-1.940819	0.430413	0.004741	0.265279
-22.227728	-1.898882	0.435418	0.004847	0.265068
-22.185342	-1.966607	0.440422	0.004838	0.264758
-22.742514	-1.892340	0.445427	0.004960	0.264650
-23.148903	-1.866090	0.450432	0.005048	0.264429
-22.884630	-1.966719	0.455437	0.004991	0.264144
-23.456744	-1.917790	0.460442	0.005116	0.263893
-23.910126	-1.866961	0.465446	0.005214	0.263756
-23.921215	-1.915423	0.470451	0.005217	0.263497
-23.977330	-1.951589	0.475456	0.005229	0.263261
-24.453499	-1.916850	0.480461	0.005333	0.263020
-24.754168	-1.903558	0.485466	0.005399	0.262824
-24.793547	-1.956378	0.490470	0.005407	0.262516
-25.274790	-1.926168	0.495475	0.005512	0.262247
-25.201683	-1.980324	0.500480	0.005496	0.262032
-25.740396	-1.933559	0.505485	0.005614	0.261797
-25.952481	-1.950960	0.510490	0.005660	0.261518
-25.926439	-2.020470	0.515494	0.005654	0.261181
-26.460343	-1.966804	0.520499	0.005771	0.260985
-26.893968	-1.952371	0.525504	0.005865	0.260674
-26.915236	-1.977064	0.530509	0.005870	0.260527
-27.443295	-1.929149	0.535514	0.005985	0.260306
-27.476593	-1.974725	0.540518	0.005992	0.260039
-27.931768	-1.945400	0.545523	0.006092	0.259786
