Sat Jun 04 15:02:02 2022

Number of Points = 5613
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.153313	-0.120968	0.000000	-0.000099	0.295246

0.166225	-0.138946	0.005005	-0.000102	0.295174
0.184882	-0.210390	0.010010	-0.000106	0.294861
0.067197	-0.242182	0.015014	-0.000080	0.294622
-0.089174	-0.290949	0.020019	-0.000046	0.294275
0.036803	-0.395590	0.025024	-0.000074	0.293892
0.164525	-0.516597	0.030029	-0.000102	0.293435
-0.013504	-0.600978	0.035034	-0.000063	0.292904
0.047965	-0.732948	0.040038	-0.000076	0.292342
-0.160826	-0.838793	0.045043	-0.000031	0.291685
-0.049506	-1.000538	0.050048	-0.000055	0.291021
-0.169289	-1.129383	0.055053	-0.000029	0.290325
-0.356660	-1.257226	0.060058	0.000012	0.289578
-0.271179	-1.451171	0.065062	-0.000007	0.288737
-0.199383	-1.655537	0.070067	-0.000022	0.287834
-0.153572	-1.862548	0.075072	-0.000032	0.286895
-0.674256	-1.981948	0.080077	0.000081	0.285908
-0.794800	-2.162606	0.085082	0.000108	0.284953
-0.778459	-2.381495	0.090086	0.000104	0.283923
-2.324612	-2.320888	0.095091	0.000441	0.282948
-3.935946	-2.150082	0.100096	0.000793	0.282447
-4.828179	-2.076893	0.105101	0.000988	0.282066
-4.442592	-2.233810	0.110106	0.000904	0.281628
-5.219846	-2.148889	0.115110	0.001073	0.281398
-5.737273	-2.137939	0.120115	0.001186	0.281024
-5.626860	-2.211249	0.125120	0.001162	0.280762
-6.422522	-2.125345	0.130125	0.001335	0.280520
-6.194086	-2.209820	0.135130	0.001285	0.280301
-6.760367	-2.174915	0.140134	0.001409	0.280001
-7.405196	-2.118289	0.145139	0.001550	0.279742
-7.149502	-2.204971	0.150144	0.001494	0.279534
-7.568242	-2.179270	0.155149	0.001585	0.279312
-8.077313	-2.148862	0.160154	0.001696	0.279037
-8.244517	-2.143818	0.165158	0.001732	0.278923
-8.478932	-2.155512	0.170163	0.001783	0.278671
-8.404016	-2.210821	0.175168	0.001767	0.278465
-9.257433	-2.105835	0.180173	0.001953	0.278266
-9.414418	-2.124478	0.185178	0.001987	0.278045
-9.274097	-2.192857	0.190182	0.001957	0.277828
-10.025086	-2.100912	0.195187	0.002120	0.277651
-10.382922	-2.086116	0.200192	0.002198	0.277424
-10.376494	-2.113502	0.205197	0.002197	0.277296
-10.794739	-2.080546	0.210202	0.002288	0.277108
-10.540544	-2.173064	0.215206	0.002233	0.276868
-11.184293	-2.097429	0.220211	0.002373	0.276700
-11.478200	-2.105768	0.225216	0.002437	0.276413
-11.652460	-2.125969	0.230221	0.002475	0.276168
-11.686453	-2.146824	0.235226	0.002482	0.276037
-12.429717	-2.055936	0.240230	0.002644	0.275860
-12.307271	-2.140834	0.245235	0.002618	0.275545
-12.568153	-2.125235	0.250240	0.002674	0.275403
-13.310310	-2.021023	0.255245	0.002836	0.275291
-13.109734	-2.121093	0.260250	0.002792	0.274968
-13.460657	-2.088681	0.265254	0.002869	0.274832
-13.985452	-2.035896	0.270259	0.002983	0.274650
-13.595179	-2.167272	0.275264	0.002898	0.274331
-14.501195	-2.072444	0.280269	0.003096	0.274034
-14.500738	-2.105853	0.285274	0.003096	0.273869
-14.622732	-2.120407	0.290278	0.003122	0.273694
-15.237875	-2.077274	0.295283	0.003256	0.273387
-15.110805	-2.124476	0.300288	0.003228	0.273261
-15.556787	-2.096611	0.305293	0.003326	0.273021
-15.538706	-2.154427	0.310298	0.003322	0.272749
-15.957240	-2.142276	0.315302	0.003413	0.272454
-16.599448	-2.085019	0.320307	0.003553	0.272193
-16.443579	-2.143375	0.325312	0.003519	0.272035
-16.957882	-2.098118	0.330317	0.003631	0.271822
-17.112510	-2.123665	0.335322	0.003665	0.271563
-17.227230	-2.145750	0.340326	0.003690	0.271355
-17.780131	-2.086387	0.345331	0.003810	0.271180
-17.850149	-2.134351	0.350336	0.003825	0.270880
-18.328022	-2.084159	0.355341	0.003930	0.270722
-18.802669	-2.034212	0.360346	0.004033	0.270566
-18.247819	-2.168007	0.365350	0.003912	0.270372
-19.196859	-2.075993	0.370355	0.004119	0.270019
-19.288430	-2.084355	0.375360	0.004139	0.269899
-19.279811	-2.139616	0.380365	0.004137	0.269629
-19.840876	-2.103885	0.385370	0.004259	0.269326
-20.317182	-2.024744	0.390374	0.004363	0.269315
-20.356825	-2.075509	0.395379	0.004372	0.269025
-20.380212	-2.112537	0.400384	0.004377	0.268818
-20.889915	-2.061403	0.405389	0.004488	0.268637
-21.038133	-2.089027	0.410394	0.004520	0.268370
-21.334189	-2.095024	0.415398	0.004585	0.268084
-21.629691	-2.079319	0.420403	0.004649	0.267908
-21.840269	-2.077170	0.425408	0.004695	0.267737
-22.170642	-2.075822	0.430413	0.004767	0.267457
-21.948522	-2.164121	0.435418	0.004718	0.267202
-22.444554	-2.143783	0.440422	0.004827	0.266875
-22.849361	-2.128249	0.445427	0.004915	0.266602
-23.149996	-2.123811	0.450432	0.004980	0.266364
-23.576659	-2.083539	0.455437	0.005073	0.266197
-23.662399	-2.120134	0.460442	0.005092	0.265936
-24.066855	-2.068695	0.465446	0.005180	0.265846
-24.412499	-2.062991	0.470451	0.005256	0.265574
-23.901233	-2.193954	0.475456	0.005144	0.265352
-25.077418	-2.065161	0.480461	0.005401	0.264982
-25.079681	-2.089251	0.485466	0.005401	0.264857
-25.366696	-2.074282	0.490470	0.005463	0.264682
-25.542432	-2.092068	0.495475	0.005502	0.264438
-25.712051	-2.094122	0.500480	0.005539	0.264278
-26.139437	-2.065203	0.505485	0.005632	0.264052
-26.146056	-2.128575	0.510490	0.005633	0.263721
-26.382561	-2.124997	0.515494	0.005685	0.263531
-27.142258	-2.048107	0.520499	0.005850	0.263258
-27.293232	-2.055404	0.525504	0.005883	0.263088
-27.183746	-2.116652	0.530509	0.005859	0.262869
-27.716156	-2.070167	0.535514	0.005975	0.262639
-27.774030	-2.105771	0.540518	0.005988	0.262404
-28.309374	-2.062115	0.545523	0.006105	0.262157
-28.403538	-2.092917	0.550528	0.006125	0.261914
-28.638905	-2.084513	0.555533	0.006176	0.261750
-29.024018	-2.060398	0.560538	0.006260	0.261534
-29.001474	-2.122337	0.565542	0.006255	0.261232
-29.241180	-2.136451	0.570547	0.006308	0.260946
-29.577666	-2.128394	0.575552	0.006381	0.260689
-30.091754	-2.072916	0.580557	0.006493	0.260521
-30.501704	-2.037233	0.585562	0.006582	0.260341
-30.229453	-2.135399	0.590566	0.006523	0.260073
-30.650203	-2.110048	0.595571	0.006615	0.259830
-31.033323	-2.100191	0.600576	0.006698	0.259539
-31.364384	-2.080386	0.605581	0.006770	0.259347
-31.649926	-2.083781	0.610586	0.006833	0.259074
-31.644980	-2.120887	0.615590	0.006832	0.258884
-32.181711	-2.068948	0.620595	0.006949	0.258676
-32.309181	-2.107975	0.625600	0.006976	0.258357
-32.441007	-2.128229	0.630605	0.007005	0.258132
-32.754318	-2.132257	0.635610	0.007073	0.257830
-33.015155	-2.131448	0.640614	0.007130	0.257599
-33.623137	-2.073575	0.645619	0.007263	0.257356
-33.723834	-2.088417	0.650624	0.007285	0.257188
-33.708379	-2.146698	0.655629	0.007281	0.256894
-34.142769	-2.123921	0.660634	0.007376	0.256622
-34.546061	-2.100242	0.665638	0.007464	0.256383
-34.778380	-2.099824	0.670643	0.007514	0.256175
-34.993375	-2.108930	0.675648	0.007561	0.255932
-35.357893	-2.073061	0.680653	0.007641	0.255792
-35.507766	-2.103729	0.685658	0.007673	0.255494
-35.291549	-2.177075	0.690662	0.007626	0.255301
-36.179714	-2.075254	0.695667	0.007820	0.255035
-36.378854	-2.092983	0.700672	0.007863	0.254759
-36.398093	-2.122382	0.705677	0.007867	0.254585
-36.777664	-2.109859	0.710682	0.007950	0.254306
-37.041111	-2.103416	0.715686	0.008007	0.254100
-37.432519	-2.098690	0.720691	0.008093	0.253768
-37.385515	-2.144988	0.725696	0.008082	0.253564
-37.896112	-2.095521	0.730701	0.008194	0.253361
-38.285924	-2.069058	0.735706	0.008279	0.253146
-38.300095	-2.120524	0.740710	0.008282	0.252858
-38.663186	-2.103706	0.745715	0.008361	0.252615
-39.052199	-2.068126	0.750720	0.008446	0.252449
-39.294425	-2.070510	0.755725	0.008499	0.252213
-39.277264	-2.125618	0.760730	0.008495	0.251933
-39.583803	-2.116551	0.765734	0.008562	0.251699
-40.023674	-2.082218	0.770739	0.008657	0.251479
-40.374459	-2.063032	0.775744	0.008734	0.251259
-40.370290	-2.116797	0.780749	0.008733	0.250972
-40.658180	-2.111914	0.785754	0.008796	0.250733
-40.782230	-2.132595	0.790758	0.008823	0.250506
-41.267862	-2.102801	0.795763	0.008929	0.250218
-41.678825	-2.063196	0.800768	0.009018	0.250051
-41.717724	-2.112758	0.805773	0.009027	0.249746
-41.889325	-2.124471	0.810778	0.009064	0.249524
-42.660632	-2.044110	0.815782	0.009232	0.249243
-42.475630	-2.113868	0.820787	0.009192	0.249036
-42.610435	-2.138769	0.825792	0.009221	0.248775
-43.088607	-2.110024	0.830797	0.009325	0.248485
-43.585610	-2.073722	0.835802	0.009434	0.248219
-43.547890	-2.108579	0.840806	0.009425	0.248064
-43.919030	-2.083686	0.845811	0.009506	0.247853
-44.042512	-2.120789	0.850816	0.009533	0.247535
-44.306460	-2.123412	0.855821	0.009591	0.247273
-44.798139	-2.090972	0.860826	0.009698	0.246989
-44.838666	-2.112323	0.865830	0.009707	0.246834
-45.365026	-2.064248	0.870835	0.009821	0.246603
-45.340192	-2.123049	0.875840	0.009816	0.246303
-45.733815	-2.101079	0.880845	0.009902	0.246054
-46.040404	-2.089712	0.885850	0.009969	0.245827
-46.208901	-2.095896	0.890854	0.010005	0.245634
-46.710685	-2.051135	0.895859	0.010115	0.245407
-46.591466	-2.115210	0.900864	0.010089	0.245166
-46.917565	-2.100498	0.905869	0.010160	0.244939
-47.236124	-2.109580	0.910874	0.010229	0.244586
-47.403384	-2.121290	0.915878	0.010265	0.244363
-47.891148	-2.086982	0.920883	0.010372	0.244090
-47.903956	-2.135204	0.925888	0.010375	0.243810
-48.514918	-2.084247	0.930893	0.010508	0.243511
-48.736042	-2.085069	0.935898	0.010556	0.243296
-48.647316	-2.136771	0.940902	0.010537	0.243093
-49.151580	-2.091969	0.945907	0.010647	0.242861
-49.354103	-2.111999	0.950912	0.010691	0.242556
-49.684679	-2.103223	0.955917	0.010763	0.242289
-49.979674	-2.094632	0.960922	0.010827	0.242054
-50.134742	-2.102788	0.965926	0.010861	0.241860
-50.376623	-2.108562	0.970931	0.010913	0.241595
-50.608694	-2.121516	0.975936	0.010964	0.241300
-50.818910	-2.137377	0.980941	0.011010	0.241008
-51.148781	-2.129177	0.985946	0.011082	0.240737
-51.421625	-2.116969	0.990950	0.011141	0.240543
-51.918611	-2.080580	0.995955	0.011250	0.240268
-52.051607	-2.089937	1.000960	0.011278	0.240087
-52.121058	-2.129440	1.005965	0.011294	0.239797
-52.569876	-2.108006	1.010970	0.011391	0.239483
-52.803626	-2.107972	1.015974	0.011442	0.239257
-53.054745	-2.105291	1.020979	0.011497	0.239028
-53.320780	-2.106945	1.025984	0.011555	0.238761
-53.477141	-2.122705	1.030989	0.011589	0.238519
-53.940744	-2.097958	1.035994	0.011690	0.238209
-54.053793	-2.117833	1.040998	0.011715	0.237985
-54.150076	-2.147148	1.046003	0.011736	0.237724
-54.637064	-2.112724	1.051008	0.011842	0.237445
-54.980955	-2.093816	1.056013	0.011917	0.237217
-55.156463	-2.109701	1.061018	0.011955	0.236954
-55.308605	-2.134882	1.066022	0.011988	0.236661
-55.577549	-2.135094	1.071027	0.012047	0.236396
-55.937474	-2.123744	1.076032	0.012125	0.236108
-56.219373	-2.116259	1.081037	0.012187	0.235873
-56.467036	-2.118194	1.086042	0.012241	0.235619
-56.658373	-2.117304	1.091046	0.012282	0.235435
-57.163827	-2.084330	1.096051	0.012393	0.235127
-57.231814	-2.113670	1.101056	0.012407	0.234890
-57.551385	-2.097001	1.106061	0.012477	0.234671
-57.712467	-2.114188	1.111066	0.012512	0.234412
-57.906529	-2.130187	1.116070	0.012554	0.234127
-58.337920	-2.102228	1.121075	0.012648	0.233861
-58.210015	-2.184990	1.126080	0.012620	0.233508
-58.889420	-2.114251	1.131085	0.012769	0.233243
-59.165549	-2.112282	1.136090	0.012829	0.232980
-59.010709	-2.178704	1.141094	0.012795	0.232748
-59.674265	-2.122417	1.146099	0.012940	0.232413
-59.784785	-2.146937	1.151104	0.012964	0.232160
-60.416256	-2.067214	1.156109	0.013101	0.231994
-60.542876	-2.099559	1.161114	0.013129	0.231678
-60.380401	-2.162409	1.166118	0.013093	0.231473
-61.022740	-2.103710	1.171123	0.013233	0.231173
-61.216590	-2.114982	1.176128	0.013276	0.230912
-61.420137	-2.122253	1.181133	0.013320	0.230665
-61.678181	-2.111495	1.186138	0.013376	0.230468
-61.869688	-2.130003	1.191142	0.013418	0.230166
-62.347864	-2.098344	1.196147	0.013522	0.229870
-62.538578	-2.108452	1.201152	0.013564	0.229618
-62.477623	-2.160158	1.206157	0.013550	0.229374
-63.009443	-2.119786	1.211162	0.013666	0.229074
-63.377798	-2.101028	1.216166	0.013747	0.228812
-63.795490	-2.067054	1.221171	0.013838	0.228589
-63.589273	-2.142381	1.226176	0.013793	0.228352
-63.963528	-2.125220	1.231181	0.013874	0.228073
-64.407554	-2.106936	1.236186	0.013971	0.227730
-64.282672	-2.172573	1.241190	0.013944	0.227466
-64.726660	-2.150701	1.246195	0.014040	0.227143
-65.123458	-2.124852	1.251200	0.014127	0.226891
-65.552859	-2.086931	1.256205	0.014221	0.226679
-65.649220	-2.120082	1.261210	0.014242	0.226381
-65.565372	-2.183149	1.266214	0.014223	0.226090
-66.141567	-2.138155	1.271219	0.014349	0.225767
-66.313441	-2.146611	1.276224	0.014386	0.225540
-66.690458	-2.131728	1.281229	0.014468	0.225241
-66.817922	-2.156925	1.286234	0.014496	0.224958
-67.201639	-2.127738	1.291238	0.014580	0.224738
-67.703001	-2.085635	1.296243	0.014689	0.224473
