Sat Jun 04 15:24:50 2022

Number of Points = 5614
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.184118	-0.009441	0.000000	-0.000012	0.292150

0.559103	-0.072734	0.005005	-0.000094	0.292154
0.081520	-0.058678	0.010010	0.000010	0.291840
0.250469	-0.116232	0.015014	-0.000027	0.291707
0.191193	-0.152150	0.020019	-0.000014	0.291493
-0.083885	-0.173436	0.025024	0.000046	0.291175
0.237604	-0.310052	0.030029	-0.000024	0.290795
-0.090227	-0.330695	0.035034	0.000047	0.290437
0.007286	-0.453722	0.040038	0.000026	0.289940
0.035135	-0.561897	0.045043	0.000020	0.289456
-0.186465	-0.656507	0.050048	0.000069	0.288835
0.255648	-0.872053	0.055053	-0.000028	0.288177
-0.169083	-0.948775	0.060058	0.000065	0.287474
-0.076853	-1.133784	0.065062	0.000045	0.286675
0.065124	-1.330125	0.070067	0.000014	0.285860
-0.303072	-1.450219	0.075072	0.000094	0.284990
-0.252236	-1.652933	0.080077	0.000083	0.284065
-0.594310	-1.787827	0.085082	0.000158	0.283141
-0.776864	-1.960089	0.090086	0.000198	0.282165
-0.445846	-2.220419	0.095091	0.000126	0.281184
-0.933656	-2.349597	0.100096	0.000233	0.280157
-1.877068	-2.406034	0.105101	0.000439	0.279101
-3.933060	-2.179961	0.110106	0.000887	0.278491
-4.215579	-2.237927	0.115110	0.000949	0.277973
-4.292135	-2.305079	0.120115	0.000966	0.277581
-5.482215	-2.180277	0.125120	0.001225	0.277196
-5.518065	-2.246329	0.130125	0.001233	0.276843
-6.062331	-2.203968	0.135130	0.001352	0.276595
-6.583521	-2.172876	0.140134	0.001466	0.276310
-6.589567	-2.200983	0.145139	0.001467	0.276167
-6.815278	-2.212809	0.150144	0.001516	0.275920
-7.128186	-2.213183	0.155149	0.001585	0.275655
-7.489531	-2.200348	0.160154	0.001663	0.275414
-7.787947	-2.169984	0.165158	0.001729	0.275312
-8.354608	-2.122005	0.170163	0.001852	0.275071
-8.006477	-2.225590	0.175168	0.001776	0.274854
-8.656173	-2.155157	0.180173	0.001918	0.274653
-8.793575	-2.201736	0.185178	0.001948	0.274307
-9.114442	-2.182690	0.190182	0.002018	0.274130
-9.730731	-2.106172	0.195187	0.002152	0.273987
-9.718727	-2.146418	0.200192	0.002150	0.273798
-9.703047	-2.182044	0.205197	0.002146	0.273635
-10.477766	-2.103068	0.210202	0.002315	0.273370
-10.167641	-2.193350	0.215206	0.002248	0.273185
-10.510590	-2.188958	0.220211	0.002323	0.272916
-11.132720	-2.133515	0.225216	0.002458	0.272662
-11.219086	-2.138609	0.230221	0.002477	0.272564
-11.497409	-2.154027	0.235226	0.002538	0.272250
-11.541491	-2.175134	0.240230	0.002548	0.272107
-11.960919	-2.157341	0.245235	0.002639	0.271838
-12.192010	-2.161221	0.250240	0.002690	0.271622
-12.568821	-2.154995	0.255245	0.002772	0.271331
-13.005192	-2.094727	0.260250	0.002867	0.271259
-13.121107	-2.128242	0.265254	0.002892	0.270992
-13.149825	-2.152330	0.270259	0.002899	0.270847
-13.858237	-2.066836	0.275264	0.003053	0.270669
-13.474903	-2.189504	0.280269	0.002969	0.270383
-14.076869	-2.148688	0.285274	0.003101	0.270071
-14.325960	-2.143815	0.290278	0.003155	0.269881
-14.578871	-2.142392	0.295283	0.003210	0.269671
-14.977743	-2.120586	0.300288	0.003297	0.269438
-14.825349	-2.188575	0.305293	0.003264	0.269227
-15.468841	-2.120222	0.310298	0.003405	0.269016
-15.716606	-2.131392	0.315302	0.003459	0.268746
-15.728042	-2.177425	0.320307	0.003461	0.268504
-16.334807	-2.124074	0.325312	0.003594	0.268249
-16.681631	-2.079234	0.330317	0.003669	0.268176
-16.607520	-2.148899	0.335322	0.003653	0.267888
-16.901011	-2.131989	0.340326	0.003717	0.267719
-17.347396	-2.109483	0.345331	0.003814	0.267446
-17.287053	-2.162991	0.350336	0.003801	0.267227
-17.909081	-2.113952	0.355341	0.003937	0.266936
-17.899335	-2.148563	0.360346	0.003935	0.266769
-18.670217	-2.043345	0.365350	0.004103	0.266633
-18.544347	-2.118366	0.370355	0.004076	0.266361
-18.829824	-2.094096	0.375360	0.004138	0.266236
-19.311681	-2.057586	0.380365	0.004243	0.266002
-18.959635	-2.164777	0.385370	0.004166	0.265763
-19.657949	-2.078457	0.390374	0.004319	0.265593
-20.009324	-2.079959	0.395379	0.004395	0.265279
-19.696899	-2.174173	0.400384	0.004327	0.265070
-20.624829	-2.070360	0.405389	0.004530	0.264789
-20.431517	-2.145453	0.410394	0.004487	0.264574
-20.655610	-2.145588	0.415398	0.004536	0.264377
-21.367232	-2.065307	0.420403	0.004692	0.264164
-21.009983	-2.201283	0.425408	0.004614	0.263779
