Sat Jun 04 16:12:52 2022

Number of Points = 5612
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-0.534395	-0.036677	0.000000	0.000012	0.294406

-0.384924	-0.063649	0.005005	-0.000021	0.294400
-0.602940	-0.053345	0.010010	0.000026	0.294276
-0.411134	-0.122528	0.015014	-0.000015	0.294108
-0.659186	-0.121749	0.020019	0.000039	0.293917
-0.482877	-0.232992	0.025024	0.000000	0.293542
-0.472881	-0.301150	0.030029	-0.000002	0.293235
-0.663377	-0.358154	0.035034	0.000040	0.292821
-0.375014	-0.520577	0.040038	-0.000023	0.292297
-0.696104	-0.583119	0.045043	0.000047	0.291752
-0.475099	-0.754282	0.050048	-0.000001	0.291132
-0.775398	-0.831961	0.055053	0.000064	0.290530
-0.741533	-0.984350	0.060058	0.000057	0.289846
-0.652996	-1.164162	0.065062	0.000037	0.289074
-1.085730	-1.255529	0.070067	0.000132	0.288298
-0.774843	-1.492261	0.075072	0.000064	0.287433
-1.152110	-1.611960	0.080077	0.000147	0.286563
-1.349883	-1.770756	0.085082	0.000190	0.285651
-1.034594	-2.012641	0.090086	0.000121	0.284757
-1.460877	-2.155233	0.095091	0.000214	0.283729
-1.799350	-2.319909	0.100096	0.000288	0.282664
-3.953716	-2.099408	0.105101	0.000758	0.281954
-4.422195	-2.143636	0.110106	0.000861	0.281356
-5.075742	-2.093625	0.115110	0.001003	0.281058
-6.077951	-2.010233	0.120115	0.001222	0.280634
-5.758754	-2.104941	0.125120	0.001152	0.280440
-6.268216	-2.060644	0.130125	0.001263	0.280233
-6.633324	-2.082110	0.135130	0.001343	0.279827
-6.669963	-2.119093	0.140134	0.001351	0.279618
-7.466989	-2.035363	0.145139	0.001525	0.279363
-7.224166	-2.131533	0.150144	0.001472	0.279098
-7.771110	-2.083044	0.155149	0.001591	0.278879
-8.512795	-1.994863	0.160154	0.001753	0.278691
-7.746383	-2.199320	0.165158	0.001586	0.278334
-9.095339	-2.014435	0.170163	0.001880	0.278111
-8.904606	-2.086005	0.175168	0.001838	0.277921
-9.077872	-2.080522	0.180173	0.001876	0.277803
-9.771709	-2.029848	0.185178	0.002028	0.277472
-9.314448	-2.136713	0.190182	0.001928	0.277332
-10.271348	-2.006914	0.195187	0.002136	0.277166
-10.147348	-2.088102	0.200192	0.002109	0.276873
-10.078978	-2.132209	0.205197	0.002094	0.276714
-11.134460	-2.029917	0.210202	0.002325	0.276331
-10.798500	-2.110189	0.215206	0.002251	0.276219
-11.480274	-2.054692	0.220211	0.002400	0.275919
-11.693271	-2.037797	0.225216	0.002447	0.275823
-11.626740	-2.094309	0.230221	0.002432	0.275602
-12.322074	-2.022225	0.235226	0.002584	0.275371
-12.235609	-2.060633	0.240230	0.002565	0.275255
-12.915972	-1.993331	0.245235	0.002713	0.275014
-12.737429	-2.059006	0.250240	0.002674	0.274841
-13.238950	-2.000839	0.255245	0.002784	0.274704
-13.493642	-2.023362	0.260250	0.002839	0.274378
-13.379058	-2.075908	0.265254	0.002814	0.274216
-14.147651	-1.975032	0.270259	0.002982	0.274065
-13.995973	-2.065359	0.275264	0.002949	0.273746
-14.189341	-2.061630	0.280269	0.002991	0.273601
