Sat Jun 04 15:31:15 2022

Number of Points = 5615
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-0.110407	-0.012002	0.000000	-0.000020	0.292473

-0.454884	0.045036	0.005005	0.000055	0.292464
-0.266887	-0.035391	0.010010	0.000014	0.292240
-0.312394	-0.045260	0.015014	0.000024	0.292158
-0.354108	-0.103321	0.020019	0.000033	0.291856
-0.183414	-0.181231	0.025024	-0.000004	0.291629
-0.241851	-0.251156	0.030029	0.000009	0.291258
-0.397782	-0.322272	0.035034	0.000043	0.290802
-0.306449	-0.422966	0.040038	0.000023	0.290405
-0.491934	-0.502358	0.045043	0.000064	0.289886
-0.671673	-0.586388	0.050048	0.000103	0.289349
-0.285864	-0.782833	0.055053	0.000019	0.288736
-0.576657	-0.879664	0.060058	0.000082	0.288047
-0.531305	-1.052649	0.065062	0.000072	0.287269
-0.370814	-1.248943	0.070067	0.000038	0.286470
-0.772185	-1.355663	0.075072	0.000125	0.285639
-0.787576	-1.541029	0.080077	0.000129	0.284745
-0.729698	-1.737670	0.085082	0.000116	0.283855
-0.976595	-1.900120	0.090086	0.000170	0.282875
-0.965690	-2.123811	0.095091	0.000168	0.281810
-0.857602	-2.354226	0.100096	0.000145	0.280788
-1.380895	-2.493052	0.105101	0.000259	0.279684
-4.437394	-2.143815	0.110106	0.000926	0.278841
-4.192021	-2.258127	0.115110	0.000872	0.278489
-6.279083	-1.969152	0.120115	0.001328	0.278159
-5.269918	-2.215390	0.125120	0.001108	0.277799
-6.229919	-2.104666	0.130125	0.001317	0.277538
-6.758282	-2.067523	0.135130	0.001433	0.277278
-6.418272	-2.156261	0.140134	0.001358	0.277129
-7.189067	-2.070398	0.145139	0.001527	0.276904
-7.053916	-2.147727	0.150144	0.001497	0.276638
-7.230484	-2.168206	0.155149	0.001536	0.276390
-8.128786	-2.078362	0.160154	0.001732	0.276076
-8.079662	-2.107425	0.165158	0.001721	0.275975
-8.142652	-2.159393	0.170163	0.001735	0.275667
-8.820846	-2.063393	0.175168	0.001883	0.275568
-9.107531	-2.046869	0.180173	0.001945	0.275408
-8.884725	-2.144246	0.185178	0.001897	0.275116
-9.715938	-2.023214	0.190182	0.002078	0.275012
-9.844998	-2.051713	0.195187	0.002106	0.274763
-9.648141	-2.125636	0.200192	0.002063	0.274564
-10.690429	-1.980363	0.205197	0.002291	0.274401
-10.306850	-2.110911	0.210202	0.002207	0.274080
-10.780328	-2.065493	0.215206	0.002310	0.273904
-11.290644	-2.034407	0.220211	0.002422	0.273626
-10.902579	-2.130881	0.225216	0.002337	0.273476
-11.633469	-2.063393	0.230221	0.002497	0.273191
-11.687631	-2.094531	0.235226	0.002508	0.272990
-11.968228	-2.081390	0.240230	0.002570	0.272817
-12.583104	-2.028462	0.245235	0.002704	0.272558
-12.312789	-2.110789	0.250240	0.002645	0.272378
-13.126666	-2.000562	0.255245	0.002823	0.272234
-13.156259	-2.056939	0.260250	0.002829	0.271927
-13.044824	-2.105438	0.265254	0.002805	0.271781
-14.104110	-1.957393	0.270259	0.003036	0.271615
-13.549718	-2.121590	0.275264	0.002915	0.271269
-14.174035	-2.069915	0.280269	0.003051	0.270993
-14.640365	-2.021568	0.285274	0.003153	0.270836
-14.311727	-2.116548	0.290278	0.003081	0.270641
-15.101098	-2.029158	0.295283	0.003253	0.270403
-15.124951	-2.071324	0.300288	0.003259	0.270171
-15.370025	-2.064459	0.305293	0.003312	0.269995
