Sat Jun 04 16:09:20 2022

Number of Points = 5609
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.249203	-0.059783	0.000000	-0.000078	0.294617

-0.139945	0.008270	0.005005	0.000007	0.294624
0.161145	-0.087829	0.010010	-0.000059	0.294419
-0.213067	-0.054110	0.015014	0.000023	0.294280
0.072230	-0.170813	0.020019	-0.000040	0.293967
-0.313651	-0.171728	0.025024	0.000045	0.293658
0.162928	-0.339828	0.030029	-0.000059	0.293258
-0.336128	-0.342901	0.035034	0.000049	0.292850
0.081842	-0.524312	0.040038	-0.000042	0.292340
-0.340428	-0.572476	0.045043	0.000050	0.291782
0.098151	-0.776444	0.050048	-0.000045	0.291182
-0.254395	-0.865557	0.055053	0.000032	0.290486
-0.153733	-1.030937	0.060058	0.000010	0.289794
-0.444127	-1.155336	0.065062	0.000073	0.288979
-0.277956	-1.350453	0.070067	0.000037	0.288196
-0.381185	-1.530357	0.075072	0.000060	0.287265
-0.526234	-1.692755	0.080077	0.000091	0.286380
-0.369276	-1.930267	0.085082	0.000057	0.285381
-0.935744	-2.037469	0.090086	0.000181	0.284410
-0.634150	-2.309651	0.095091	0.000115	0.283357
-2.558746	-2.186149	0.100096	0.000535	0.282372
-3.791072	-2.085378	0.105101	0.000804	0.281843
-4.973908	-1.989707	0.110106	0.001062	0.281331
-4.262863	-2.164246	0.115110	0.000907	0.281075
-5.925939	-1.934746	0.120115	0.001270	0.280811
-5.339527	-2.105840	0.125120	0.001142	0.280469
-5.989347	-2.034977	0.130125	0.001283	0.280275
-6.403168	-2.020123	0.135130	0.001374	0.280004
-6.554887	-2.051103	0.140134	0.001407	0.279729
-6.674408	-2.065848	0.145139	0.001433	0.279558
-7.361941	-2.029953	0.150144	0.001583	0.279162
-7.070226	-2.108359	0.155149	0.001519	0.279024
-7.946494	-2.016324	0.160154	0.001710	0.278743
-7.983641	-2.050167	0.165158	0.001718	0.278548
-8.498689	-1.998513	0.170163	0.001831	0.278371
-8.881450	-1.985902	0.175168	0.001914	0.278113
-8.680833	-2.036713	0.180173	0.001870	0.278033
-9.521604	-1.937304	0.185178	0.002054	0.277817
-8.872747	-2.090040	0.190182	0.001912	0.277613
-9.939406	-1.933338	0.195187	0.002145	0.277488
-9.707936	-2.036508	0.200192	0.002094	0.277177
-10.098556	-2.004366	0.205197	0.002179	0.277008
-10.594495	-1.971879	0.210202	0.002288	0.276752
-10.598776	-2.011785	0.215206	0.002288	0.276553
-10.801748	-2.029851	0.220211	0.002333	0.276294
-11.637441	-1.901785	0.225216	0.002515	0.276222
-11.384043	-2.002047	0.230221	0.002460	0.275942
-11.683324	-1.975650	0.235226	0.002525	0.275821
-12.083700	-1.954143	0.240230	0.002612	0.275590
-12.469850	-1.936046	0.245235	0.002696	0.275354
-12.246179	-2.002845	0.250240	0.002648	0.275214
-13.252938	-1.868589	0.255245	0.002867	0.275027
-12.528463	-2.041165	0.260250	0.002709	0.274787
-13.356546	-1.946166	0.265254	0.002890	0.274558
-13.509664	-1.966165	0.270259	0.002923	0.274330
-13.941721	-1.942241	0.275264	0.003017	0.274083
-13.632169	-2.024739	0.280269	0.002950	0.273937
-14.960745	-1.860011	0.285274	0.003240	0.273627
-14.096149	-2.046219	0.290278	0.003051	0.273438
-15.170211	-1.923747	0.295283	0.003285	0.273134
-14.755092	-2.019172	0.300288	0.003195	0.273013
-15.454329	-1.945031	0.305293	0.003347	0.272787
-15.730576	-1.953290	0.310298	0.003407	0.272512
-15.806508	-1.978113	0.315302	0.003424	0.272324
-16.463599	-1.889865	0.320307	0.003567	0.272204
