Wed Jun 08 15:21:42 2022

Number of Points = 5612
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-0.862781	-0.003222	0.000000	0.000024	0.245533

-0.734278	-0.052937	0.005005	-0.000002	0.245386
-0.743102	-0.051036	0.010010	0.000001	0.245384
-0.586818	-0.121146	0.015014	-0.000032	0.245157
-0.566711	-0.180033	0.020019	-0.000035	0.244868
-0.617485	-0.238754	0.025024	-0.000023	0.244518
-0.760263	-0.287529	0.030029	0.000009	0.244137
-0.851454	-0.360151	0.035034	0.000030	0.243679
-1.040211	-0.409179	0.040038	0.000073	0.243255
-1.081633	-0.501045	0.045043	0.000083	0.242739
-0.982934	-0.624127	0.050048	0.000063	0.242185
-1.208729	-0.702338	0.055053	0.000113	0.241574
-1.084687	-0.846389	0.060058	0.000088	0.240930
-1.002351	-0.996161	0.065062	0.000071	0.240217
-1.099309	-1.129068	0.070067	0.000093	0.239430
-1.001379	-1.317607	0.075072	0.000073	0.238524
-1.073518	-1.478692	0.080077	0.000090	0.237605
-1.189621	-1.648392	0.085082	0.000117	0.236596
-1.100136	-1.850764	0.090086	0.000099	0.235597
-1.026424	-2.068384	0.095091	0.000084	0.234498
-1.216583	-2.254093	0.100096	0.000127	0.233322
-1.163687	-2.489338	0.105101	0.000117	0.232098
-1.219207	-2.712561	0.110106	0.000130	0.230831
-1.403301	-2.916730	0.115110	0.000172	0.229541
-1.290689	-3.183088	0.120115	0.000148	0.228181
-4.725248	-2.823372	0.125120	0.000899	0.226918
-6.030445	-2.659477	0.130125	0.001185	0.226583
-7.475882	-2.495815	0.135130	0.001502	0.226114
-6.814378	-2.636757	0.140134	0.001359	0.225955
-9.208403	-2.243484	0.145139	0.001882	0.225858
-8.247628	-2.402781	0.150144	0.001674	0.225881
-8.437695	-2.394629	0.155149	0.001717	0.225740
-8.165678	-2.473132	0.160154	0.001658	0.225558
-8.266160	-2.485158	0.165158	0.001682	0.225390
-9.510111	-2.312825	0.170163	0.001954	0.225158
-8.489363	-2.525393	0.175168	0.001733	0.224942
-10.757997	-2.153078	0.180173	0.002229	0.224848
-8.976145	-2.501361	0.185178	0.001841	0.224601
-8.199173	-2.703268	0.190182	0.001673	0.224210
-9.363894	-2.632981	0.195187	0.001928	0.223481
-9.219857	-2.722296	0.200192	0.001898	0.223113
-11.061254	-2.486449	0.205197	0.002301	0.222660
-10.978728	-2.526751	0.210202	0.002284	0.222508
-11.606119	-2.448898	0.215206	0.002423	0.222336
-11.272198	-2.541054	0.220211	0.002351	0.222133
-11.462888	-2.547479	0.225216	0.002394	0.221907
-11.813662	-2.546225	0.230221	0.002471	0.221569
-11.984854	-2.576033	0.235226	0.002510	0.221228
-13.042091	-2.421139	0.240230	0.002742	0.221075
-12.917043	-2.471725	0.245235	0.002716	0.220904
-12.351736	-2.611671	0.250240	0.002594	0.220653
-12.428364	-2.662354	0.255245	0.002612	0.220285
-12.274007	-2.786835	0.260250	0.002579	0.219720
-11.681147	-3.001762	0.265254	0.002451	0.219066
-13.010618	-2.878973	0.270259	0.002742	0.218459
-14.437585	-2.708101	0.275264	0.003055	0.218031
-13.777799	-2.868382	0.280269	0.002912	0.217753
-15.353992	-2.665820	0.285274	0.003257	0.217359
-15.556061	-2.663295	0.290278	0.003303	0.217169
-14.742958	-2.801511	0.295283	0.003126	0.217169
-17.104958	-2.463682	0.300288	0.003643	0.216779
-15.887367	-2.661808	0.305293	0.003379	0.216833
-17.511433	-2.400039	0.310298	0.003734	0.216733
-16.702621	-2.563163	0.315302	0.003559	0.216585
-16.445020	-2.617981	0.320307	0.003504	0.216518
-17.627234	-2.481686	0.325312	0.003763	0.216129
-16.866786	-2.626588	0.330317	0.003598	0.216038
-18.283091	-2.424900	0.335322	0.003909	0.215795
-17.851252	-2.501199	0.340326	0.003816	0.215776
-18.734988	-2.388155	0.345331	0.004010	0.215548
-18.915348	-2.357755	0.350336	0.004050	0.215540
-19.559205	-2.245865	0.355341	0.004192	0.215544
-18.196423	-2.521028	0.360346	0.003896	0.215295
-17.629503	-2.696211	0.365350	0.003773	0.214834
-19.619264	-2.444724	0.370355	0.004209	0.214306
-18.600665	-2.652450	0.375360	0.003987	0.214105
-20.993755	-2.280348	0.380365	0.004511	0.213879
-19.554636	-2.587769	0.385370	0.004198	0.213515
-20.572871	-2.417066	0.390374	0.004421	0.213488
-21.387079	-2.344829	0.395379	0.004600	0.213087
-19.919338	-2.608626	0.400384	0.004281	0.213008
-22.032204	-2.297221	0.405389	0.004744	0.212706
-20.724456	-2.560542	0.410394	0.004459	0.212468
-21.798812	-2.407392	0.415398	0.004695	0.212280
-22.618333	-2.338251	0.420403	0.004875	0.211853
-21.673762	-2.509390	0.425408	0.004670	0.211792
-23.011202	-2.337677	0.430413	0.004963	0.211446
-21.109060	-2.711512	0.435418	0.004549	0.211155
-23.388531	-2.376379	0.440422	0.005048	0.210821
-22.138020	-2.657910	0.445427	0.004776	0.210414
-23.858838	-2.404327	0.450432	0.005153	0.210163
-23.408437	-2.547682	0.455437	0.005056	0.209761
-23.883504	-2.495749	0.460442	0.005161	0.209579
-23.726639	-2.603154	0.465446	0.005128	0.209091
-24.085868	-2.583350	0.470451	0.005207	0.208834
-25.151990	-2.464868	0.475456	0.005441	0.208443
-25.188548	-2.474545	0.480461	0.005450	0.208341
-25.950395	-2.392594	0.485466	0.005618	0.208043
-25.492082	-2.478647	0.490470	0.005519	0.207992
-26.334506	-2.378134	0.495475	0.005704	0.207722
-25.715244	-2.521187	0.500480	0.005570	0.207493
-26.123521	-2.494352	0.505485	0.005661	0.207226
-26.951933	-2.418651	0.510490	0.005843	0.206819
-26.177413	-2.584766	0.515494	0.005675	0.206610
-26.942543	-2.516971	0.520499	0.005843	0.206220
-27.111346	-2.542993	0.525504	0.005881	0.205879
-26.093922	-2.775828	0.530509	0.005660	0.205516
-26.987634	-2.731023	0.535514	0.005856	0.204848
-26.895613	-2.839664	0.540518	0.005838	0.204272
-28.535655	-2.606161	0.545523	0.006197	0.203975
-29.755838	-2.442746	0.550528	0.006464	0.203688
-30.196335	-2.365507	0.555533	0.006561	0.203693
-31.497541	-2.117112	0.560538	0.006847	0.203845
-29.693400	-2.403453	0.565542	0.006454	0.203979
-30.523936	-2.306660	0.570547	0.006636	0.203693
-30.709576	-2.275815	0.575552	0.006678	0.203682
