Wed Jun 08 15:04:11 2022

Number of Points = 5610
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-30.738483	-3.315579	0.580557	0.006358	0.334973
-28.359083	-3.753464	0.585562	0.005835	0.334862
-30.232212	-3.571889	0.590566	0.006241	0.334357
-29.347145	-3.814261	0.595571	0.006045	0.334024
-31.664695	-3.507052	0.600576	0.006547	0.333704
-31.065070	-3.613054	0.605581	0.006413	0.333699
-32.705430	-3.333744	0.610586	0.006768	0.333707
-32.633467	-3.349806	0.615590	0.006749	0.333702
-31.903186	-3.477925	0.620595	0.006587	0.333698
-32.729266	-3.409924	0.625600	0.006764	0.333434
-32.439142	-3.479620	0.630605	0.006697	0.333368
-33.641450	-3.275494	0.635610	0.006956	0.333374
-34.049951	-3.209288	0.640614	0.007042	0.333370
-34.028474	-3.215705	0.645619	0.007035	0.333369
-33.509023	-3.304805	0.650624	0.006918	0.333377
-32.835407	-3.499161	0.655629	0.006768	0.333088
-33.451667	-3.492439	0.660634	0.006899	0.332728
-33.501067	-3.595561	0.665638	0.006907	0.332318
-33.904602	-3.613029	0.670643	0.006992	0.332003
-34.119998	-3.664879	0.675648	0.007036	0.331678
-35.303112	-3.514454	0.680653	0.007291	0.331494
-34.593002	-3.747598	0.685658	0.007133	0.331081
-35.005369	-3.739158	0.690662	0.007220	0.330856
-35.908474	-3.667513	0.695667	0.007413	0.330554
-36.820140	-3.512884	0.700672	0.007609	0.330561
-37.440146	-3.411175	0.705677	0.007741	0.330555
-38.162331	-3.289921	0.710682	0.007896	0.330557
-38.064553	-3.290267	0.715686	0.007871	0.330628
-36.623673	-3.521446	0.720691	0.007554	0.330692
-37.056220	-3.550597	0.725696	0.007645	0.330313
-36.735871	-3.671970	0.730701	0.007572	0.330069
-37.464666	-3.664109	0.735706	0.007728	0.329637
-38.356395	-3.590303	0.740710	0.007919	0.329350
-39.097647	-3.466230	0.745715	0.008078	0.329351
-39.088281	-3.469089	0.750720	0.008073	0.329355
-38.183247	-3.731319	0.755725	0.007872	0.328955
-39.036302	-3.648888	0.760730	0.008055	0.328725
-39.279365	-3.693380	0.765734	0.008105	0.328407
-41.008744	-3.404506	0.770739	0.008479	0.328393
-41.448627	-3.330668	0.775744	0.008572	0.328398
-41.325436	-3.293264	0.780749	0.008542	0.328630
-40.706474	-3.433284	0.785754	0.008404	0.328508
-41.511784	-3.326942	0.790758	0.008576	0.328400
-40.244330	-3.595285	0.795763	0.008297	0.328211
-41.423558	-3.454705	0.800768	0.008551	0.327989
-41.138139	-3.600434	0.805773	0.008485	0.327629
-41.057165	-3.692362	0.810778	0.008464	0.327340
-42.339646	-3.526591	0.815782	0.008741	0.327147
-41.291719	-3.831011	0.820787	0.008509	0.326676
-42.811550	-3.616103	0.825792	0.008838	0.326516
-43.158486	-3.650668	0.830797	0.008911	0.326166
-42.736748	-3.732936	0.835802	0.008815	0.326136
